slice_id,slice_label,slice_group,date_start,date_end,slice_date_count,variant_id,variant_label,selection_mode,liquidity_gate_enabled,liquidity_threshold_value,liquidity_threshold_label,active_ticker_count_median,active_ticker_count_min,active_ticker_count_max,active_ticker_count_mean,active_single_ticker_day_pct,total_signals,total_trades,median_trade_retention,avg_delta_win_rate,avg_delta_average_return,tickers_with_coverage_collapse,coverage_collapse_tickers,sample_adequacy_risk,sample_adequacy_reason
full_period,Full period,all_dates,2000-06-06,2026-04-22,6437,alt_filter_no_liquidity_gate,Alt filter without liquidity gate,alt_filter,False,,none,17.0,0,49,15.7628,0.668,17704,8507,85.5895,0.3924,0.0455,0,[],low,Sample cukup untuk prototype dan tidak menunjukkan penyempitan berlebihan.
full_period,Full period,all_dates,2000-06-06,2026-04-22,6437,alt_filter_liquidity_gate_2_5b,Alt filter with liquidity gate >= 2.5B IDR,alt_filter,True,2500000000.0,>= 2.5B IDR,14.0,0,47,13.7163,1.1651,14995,7353,80.4878,-0.1837,-0.0665,0,[],low,Sample cukup untuk prototype dan tidak menunjukkan penyempitan berlebihan.
full_period,Full period,all_dates,2000-06-06,2026-04-22,6437,alt_filter_liquidity_gate_5b,Alt filter with liquidity gate >= 5B IDR,alt_filter,True,5000000000.0,>= 5B IDR,13.0,0,45,12.929,1.3205,13941,6903,75.6098,-0.8931,-0.0261,0,[],low,Sample cukup untuk prototype dan tidak menunjukkan penyempitan berlebihan.
time_early,Time Early,time,2000-06-06,2008-10-30,2146,alt_filter_no_liquidity_gate,Alt filter without liquidity gate,alt_filter,False,,none,9.0,0,36,10.548,1.8173,4532,2071,84.4444,1.2935,0.2443,1,['TPIA'],high,Selection terlalu sempit untuk universe pilot saat ini atau trade sample turun terlalu jauh.
time_early,Time Early,time,2000-06-06,2008-10-30,2146,alt_filter_liquidity_gate_2_5b,Alt filter with liquidity gate >= 2.5B IDR,alt_filter,True,2500000000.0,>= 2.5B IDR,6.0,0,29,7.6305,3.0755,3280,1512,66.3265,-1.673,-0.0054,2,"['EXCL', 'TPIA']",high,Selection terlalu sempit untuk universe pilot saat ini atau trade sample turun terlalu jauh.
time_early,Time Early,time,2000-06-06,2008-10-30,2146,alt_filter_liquidity_gate_5b,Alt filter with liquidity gate >= 5B IDR,alt_filter,True,5000000000.0,>= 5B IDR,5.0,0,27,6.8868,3.4949,2932,1375,51.1628,1.6563,0.564,3,"['EXCL', 'MYOR', 'TPIA']",high,Selection terlalu sempit untuk universe pilot saat ini atau trade sample turun terlalu jauh.
time_mid,Time Mid,time,2008-10-31,2017-07-31,2146,alt_filter_no_liquidity_gate,Alt filter without liquidity gate,alt_filter,False,,none,24.0,0,46,20.7996,0.1864,7466,3641,84.8644,0.2552,0.0304,0,[],low,Sample cukup untuk prototype dan tidak menunjukkan penyempitan berlebihan.
time_mid,Time Mid,time,2008-10-31,2017-07-31,2146,alt_filter_liquidity_gate_2_5b,Alt filter with liquidity gate >= 2.5B IDR,alt_filter,True,2500000000.0,>= 2.5B IDR,21.0,0,43,17.9492,0.4194,6170,3105,82.9948,0.255,-0.0242,0,[],low,Sample cukup untuk prototype dan tidak menunjukkan penyempitan berlebihan.
time_mid,Time Mid,time,2008-10-31,2017-07-31,2146,alt_filter_liquidity_gate_5b,Alt filter with liquidity gate >= 5B IDR,alt_filter,True,5000000000.0,>= 5B IDR,19.0,0,41,16.8602,0.466,5677,2897,79.1411,-1.8018,-0.3294,0,[],low,Sample cukup untuk prototype dan tidak menunjukkan penyempitan berlebihan.
time_late,Time Late,time,2017-08-01,2026-04-22,2145,alt_filter_no_liquidity_gate,Alt filter without liquidity gate,alt_filter,False,,none,18.0,0,49,15.9408,0.0,5706,2787,86.6667,0.1331,0.0289,0,[],low,Sample cukup untuk prototype dan tidak menunjukkan penyempitan berlebihan.
time_late,Time Late,time,2017-08-01,2026-04-22,2145,alt_filter_liquidity_gate_2_5b,Alt filter with liquidity gate >= 2.5B IDR,alt_filter,True,2500000000.0,>= 2.5B IDR,18.0,0,47,15.5702,0.0,5545,2729,86.3636,-0.1933,0.0226,0,[],low,Sample cukup untuk prototype dan tidak menunjukkan penyempitan berlebihan.
time_late,Time Late,time,2017-08-01,2026-04-22,2145,alt_filter_liquidity_gate_5b,Alt filter with liquidity gate >= 5B IDR,alt_filter,True,5000000000.0,>= 5B IDR,17.0,0,45,15.041,0.0,5332,2625,86.2069,-0.7698,0.2067,0,[],low,Sample cukup untuk prototype dan tidak menunjukkan penyempitan berlebihan.
regime_low_strength,Regime Low Strength,regime_strength,2001-08-01,2026-03-26,1542,alt_filter_no_liquidity_gate,Alt filter without liquidity gate,alt_filter,False,,none,19.0,0,45,19.1459,2.2698,4232,2247,86.0,-0.062,0.1194,0,[],low,Sample cukup untuk prototype dan tidak menunjukkan penyempitan berlebihan.
regime_low_strength,Regime Low Strength,regime_strength,2001-08-01,2026-03-26,1542,alt_filter_liquidity_gate_2_5b,Alt filter with liquidity gate >= 2.5B IDR,alt_filter,True,2500000000.0,>= 2.5B IDR,18.0,0,42,17.5383,3.048,3798,2054,82.1429,-1.0669,-0.1646,0,[],low,Sample cukup untuk prototype dan tidak menunjukkan penyempitan berlebihan.
regime_low_strength,Regime Low Strength,regime_strength,2001-08-01,2026-03-26,1542,alt_filter_liquidity_gate_5b,Alt filter with liquidity gate >= 5B IDR,alt_filter,True,5000000000.0,>= 5B IDR,17.0,0,40,16.6732,3.1128,3566,1948,80.9524,-1.622,0.1288,0,[],low,Sample cukup untuk prototype dan tidak menunjukkan penyempitan berlebihan.
regime_mid_strength,Regime Mid Strength,regime_strength,2001-07-24,2026-02-23,1542,alt_filter_no_liquidity_gate,Alt filter without liquidity gate,alt_filter,False,,none,26.0,0,49,24.6835,0.5188,6589,3263,85.5072,-0.0982,0.1342,0,[],low,Sample cukup untuk prototype dan tidak menunjukkan penyempitan berlebihan.
regime_mid_strength,Regime Mid Strength,regime_strength,2001-07-24,2026-02-23,1542,alt_filter_liquidity_gate_2_5b,Alt filter with liquidity gate >= 2.5B IDR,alt_filter,True,2500000000.0,>= 2.5B IDR,23.0,0,47,22.2795,0.7134,5852,2946,80.5195,0.18,-0.0183,0,[],low,Sample cukup untuk prototype dan tidak menunjukkan penyempitan berlebihan.
regime_mid_strength,Regime Mid Strength,regime_strength,2001-07-24,2026-02-23,1542,alt_filter_liquidity_gate_5b,Alt filter with liquidity gate >= 5B IDR,alt_filter,True,5000000000.0,>= 5B IDR,22.0,0,45,21.1764,0.7782,5497,2789,78.3784,-1.0129,-0.2119,0,[],low,Sample cukup untuk prototype dan tidak menunjukkan penyempitan berlebihan.
