left_split,right_split,left_article_id,right_article_id,similarity,overlap_type,left_label,right_label,left_sample_method,right_sample_method,left_source_path,right_source_path,left_row_number,right_row_number
active_train,active_train,823,646,1.0,normalized_title,neutral,positive,,,storage/app/sentiment_finetune/train.jsonl,storage/app/sentiment_finetune/train.jsonl,20,215
active_train,active_train,823,646,1.0,normalized_text,neutral,positive,,,storage/app/sentiment_finetune/train.jsonl,storage/app/sentiment_finetune/train.jsonl,20,215
active_train,active_train,402,1069,1.0,normalized_title,neutral,neutral,,,storage/app/sentiment_finetune/train.jsonl,storage/app/sentiment_finetune/train.jsonl,23,489
active_train,active_train,402,1069,1.0,normalized_text,neutral,neutral,,,storage/app/sentiment_finetune/train.jsonl,storage/app/sentiment_finetune/train.jsonl,23,489
active_train,active_train,1891,1822,1.0,normalized_title,negative,negative,,,storage/app/sentiment_finetune/train.jsonl,storage/app/sentiment_finetune/train.jsonl,30,200
active_train,active_train,1891,1822,1.0,normalized_text,negative,negative,,,storage/app/sentiment_finetune/train.jsonl,storage/app/sentiment_finetune/train.jsonl,30,200
active_train,active_train,1530,1136,1.0,normalized_title,neutral,neutral,,,storage/app/sentiment_finetune/train.jsonl,storage/app/sentiment_finetune/train.jsonl,38,65
active_train,active_train,1530,1136,1.0,normalized_text,neutral,neutral,,,storage/app/sentiment_finetune/train.jsonl,storage/app/sentiment_finetune/train.jsonl,38,65
active_train,active_train,469,503,1.0,normalized_title,positive,positive,,,storage/app/sentiment_finetune/train.jsonl,storage/app/sentiment_finetune/train.jsonl,173,339
active_train,active_train,469,503,1.0,normalized_text,positive,positive,,,storage/app/sentiment_finetune/train.jsonl,storage/app/sentiment_finetune/train.jsonl,173,339
active_train,active_train,1691,1134,1.0,normalized_title,neutral,neutral,,,storage/app/sentiment_finetune/train.jsonl,storage/app/sentiment_finetune/train.jsonl,205,682
active_train,active_train,1691,1134,1.0,normalized_text,neutral,neutral,,,storage/app/sentiment_finetune/train.jsonl,storage/app/sentiment_finetune/train.jsonl,205,682
active_train,active_train,435,216,1.0,normalized_title,neutral,positive,,,storage/app/sentiment_finetune/train.jsonl,storage/app/sentiment_finetune/train.jsonl,254,351
active_train,active_train,435,216,1.0,normalized_text,neutral,positive,,,storage/app/sentiment_finetune/train.jsonl,storage/app/sentiment_finetune/train.jsonl,254,351
active_train,active_train,504,654,1.0,normalized_title,negative,negative,,,storage/app/sentiment_finetune/train.jsonl,storage/app/sentiment_finetune/train.jsonl,281,508
active_train,active_train,504,654,1.0,normalized_text,negative,negative,,,storage/app/sentiment_finetune/train.jsonl,storage/app/sentiment_finetune/train.jsonl,281,508
active_train,active_train,1023,963,1.0,normalized_title,negative,neutral,,,storage/app/sentiment_finetune/train.jsonl,storage/app/sentiment_finetune/train.jsonl,393,662
active_train,active_train,1023,963,1.0,normalized_text,negative,neutral,,,storage/app/sentiment_finetune/train.jsonl,storage/app/sentiment_finetune/train.jsonl,393,662
active_train,active_validation,1719,1391,1.0,normalized_title,neutral,neutral,,,storage/app/sentiment_finetune/train.jsonl,storage/app/sentiment_finetune/val.jsonl,193,40
active_train,active_validation,1719,1391,1.0,normalized_text,neutral,neutral,,,storage/app/sentiment_finetune/train.jsonl,storage/app/sentiment_finetune/val.jsonl,193,40
active_train,active_validation,1691,1528,1.0,normalized_title,neutral,positive,,,storage/app/sentiment_finetune/train.jsonl,storage/app/sentiment_finetune/val.jsonl,205,116
active_train,active_validation,1691,1528,1.0,normalized_text,neutral,positive,,,storage/app/sentiment_finetune/train.jsonl,storage/app/sentiment_finetune/val.jsonl,205,116
active_train,active_validation,1709,1088,1.0,normalized_title,neutral,neutral,,,storage/app/sentiment_finetune/train.jsonl,storage/app/sentiment_finetune/val.jsonl,243,48
active_train,active_validation,1709,1088,1.0,normalized_text,neutral,neutral,,,storage/app/sentiment_finetune/train.jsonl,storage/app/sentiment_finetune/val.jsonl,243,48
active_train,active_validation,478,564,1.0,normalized_title,neutral,neutral,,,storage/app/sentiment_finetune/train.jsonl,storage/app/sentiment_finetune/val.jsonl,262,31
active_train,active_validation,478,564,1.0,normalized_text,neutral,neutral,,,storage/app/sentiment_finetune/train.jsonl,storage/app/sentiment_finetune/val.jsonl,262,31
active_train,active_validation,585,808,1.0,normalized_title,positive,positive,,,storage/app/sentiment_finetune/train.jsonl,storage/app/sentiment_finetune/val.jsonl,534,91
active_train,active_validation,585,808,1.0,normalized_text,positive,positive,,,storage/app/sentiment_finetune/train.jsonl,storage/app/sentiment_finetune/val.jsonl,534,91
active_train,active_validation,884,801,1.0,normalized_title,positive,neutral,,,storage/app/sentiment_finetune/train.jsonl,storage/app/sentiment_finetune/val.jsonl,577,18
active_train,active_validation,884,801,1.0,normalized_text,positive,neutral,,,storage/app/sentiment_finetune/train.jsonl,storage/app/sentiment_finetune/val.jsonl,577,18
active_train,active_validation,830,1121,1.0,normalized_title,neutral,negative,,,storage/app/sentiment_finetune/train.jsonl,storage/app/sentiment_finetune/val.jsonl,634,27
active_train,active_validation,830,1121,1.0,normalized_text,neutral,negative,,,storage/app/sentiment_finetune/train.jsonl,storage/app/sentiment_finetune/val.jsonl,634,27
active_train,active_validation,1134,1528,1.0,normalized_title,neutral,positive,,,storage/app/sentiment_finetune/train.jsonl,storage/app/sentiment_finetune/val.jsonl,682,116
active_train,active_validation,1134,1528,1.0,normalized_text,neutral,positive,,,storage/app/sentiment_finetune/train.jsonl,storage/app/sentiment_finetune/val.jsonl,682,116
active_train,active_test_candidate,891,978,1.0,normalized_title,negative,negative,,,storage/app/sentiment_finetune/train.jsonl,storage/app/sentiment_finetune/test.jsonl,4,20
active_train,active_test_candidate,891,978,1.0,normalized_text,negative,negative,,,storage/app/sentiment_finetune/train.jsonl,storage/app/sentiment_finetune/test.jsonl,4,20
