candidate_id,dataset_version,split,article_id,manual_label_id,label,group_id,sample_method,source,publication_timestamp,target_entity,exact_text_sha256,historical_exposure_status,conflict_status
candidate-c,sentiment-eval-candidate-v1,train,13,91,positive,class_b207bd1196d104ab,legacy_hard_case,unknown,2026-04-18 09:00:00,BBCA,40c735583f88063288ee1685514ca69167f51bc91f454a74f24f9d24216c1763,active_test_148,none
candidate-c,sentiment-eval-candidate-v1,train,14,689,neutral,class_5e3c2935d23a7eda,legacy_hard_case,unknown,2026-04-17 09:00:00,BBRI,d8f55fa2404b5547036d2358a512537c6ee24f0fd06eea03cd9f78bde6790f84,r5b_153,none
candidate-c,sentiment-eval-candidate-v1,train,15,388,neutral,class_e77ba63ac92b4390,legacy_hard_case,unknown,2026-04-16 09:00:00,TLKM,4373f5a4c585af8b25782db1c3ccfdef82554277fad3a5e38d510b9cfb3d9219,no_known_test_exposure,none
candidate-c,sentiment-eval-candidate-v1,train,16,248,neutral,class_7406cf6f3c15ea92,legacy_hard_case,unknown,2026-04-15 09:00:00,GOTO,732dcb344fa78874860498d24577e2cda58d634e56e8ecbcfaf5205b360d10dc,active_test_148,none
candidate-c,sentiment-eval-candidate-v1,train,18,95,neutral,class_92326e5bca0e6fa8,legacy_hard_case,unknown,2026-04-13 09:00:00,,59742f48ee054b5e2e67d406a2852b2485b71a8af13de716b21a60ebfaa016b1,no_known_test_exposure,none
candidate-c,sentiment-eval-candidate-v1,train,20,286,positive,class_45326f85d16e67e6,legacy_hard_case,unknown,2026-04-11 09:00:00,ICBP,c33b2f67460d9909b559f164a650c7790c8378cde20d45605f92e8c8b9d79cb8,no_known_test_exposure,none
candidate-c,sentiment-eval-candidate-v1,train,21,392,neutral,class_c79990e24f5afed0,legacy_hard_case,unknown,2026-04-10 09:00:00,ADRO,91548d3e0a3830ae925d3eedb6a29b06a8a7b4ab431481bbca91914cbe378f61,active_test_148,none
candidate-c,sentiment-eval-candidate-v1,train,22,16,positive,class_2ca7d3d82b6d36c0,legacy_hard_case,unknown,2026-04-07 09:00:00,,9e44267d909eea7a26ce52411c513534a86f29cc2f8059a9180a318a0ec1fe1a,no_known_test_exposure,none
candidate-c,sentiment-eval-candidate-v1,train,23,437,neutral,class_714a1f83490396c9,legacy_hard_case,rss_local,2026-04-15 08:34:49,BBCA,335667b2648a6ab6c126a6b6870200f20c607a0327980525d2fdd825bc82ecd3,multiple_previous_test_sets,none
candidate-c,sentiment-eval-candidate-v1,train,24,1664,neutral,class_dd8f17736a15160e,representative_random,ojk_rss,2026-07-07 00:01:37,,2021b2a039033a4eba8a994f8405ceaeda2809863101a7f5602ef0cccd26fd28,no_known_test_exposure,none
candidate-c,sentiment-eval-candidate-v1,train,25,1675,neutral,class_37037671678fd6e1,representative_random,ojk_rss,2026-07-07 00:01:19,,62acdf90d059d137e162277451bc1b13f0aaabe47670482bf38efa3f63ef20bc,no_known_test_exposure,none
candidate-c,sentiment-eval-candidate-v1,train,26,1883,neutral,class_9c1ae7264d50ef66,representative_random,ojk_rss,2026-07-07 00:01:39,,43b4a31997fe97f546bce3687cd672e7c5f0fe7dcd837af7d9c68d0fcc61f7c9,no_known_test_exposure,none
candidate-c,sentiment-eval-candidate-v1,train,27,1697,neutral,class_fed2bc40ec99b1d4,representative_random,ojk_rss,2026-07-07 00:01:30,,b0aadeda83037503fd819eea8cac00ecf5aa10fa6b9f92146a0daf2d2f584794,no_known_test_exposure,none
candidate-c,sentiment-eval-candidate-v1,train,28,1376,neutral,class_a3fdef48f8560d72,representative_random,ojk_rss,2026-04-14 00:00:00,,ee412d18176dfc3a5130bfcb649739d55ea47098c5852d02a53db30be6dc2faf,no_known_test_exposure,none
candidate-c,sentiment-eval-candidate-v1,train,29,1196,neutral,class_11718c17e08f7098,representative_random,ojk_rss,2026-04-02 00:00:00,,2e77cab9400df768d65400a79722d2249c12def80e9305aa79c11452a471d679,no_known_test_exposure,none
candidate-c,sentiment-eval-candidate-v1,train,30,1667,neutral,class_e8724a1a3cc8b753,representative_random,ojk_rss,2026-07-07 00:01:35,,d6d7ed4b425464436b38a8db225e208b4257fb16fe0b13826e3045311368753c,no_known_test_exposure,none
candidate-c,sentiment-eval-candidate-v1,train,31,1709,neutral,class_47b3a4502a292b04,representative_random,ojk_rss,2026-07-07 00:01:32,,12eac4b06f0ead55fde7e1ce47475e3e24913a6e3fa1706be9b2c8cdffcc7a42,no_known_test_exposure,none
candidate-c,sentiment-eval-candidate-v1,train,32,1154,neutral,class_bb4e484b285322a4,representative_random,ojk_rss,2026-04-13 00:00:00,,14fcbeceeb247bc45fa58fdeb0d42df780ef95b8fc485b51ea5f4f28caf62c6b,no_known_test_exposure,none
candidate-c,sentiment-eval-candidate-v1,train,33,1124,neutral,class_f298e19dc7eed937,representative_random,ojk_rss,2026-04-13 00:00:00,,065a8f987e0f368e9d2d3c4a7dc570bce57e412d7523ed2f0253d5b5da9084bd,no_known_test_exposure,none
candidate-c,sentiment-eval-candidate-v1,train,34,1321,neutral,class_4182fed8afb1b680,representative_random,ojk_rss,2026-04-09 00:00:00,,9df62ec78386a71f181e09ae87f7d2dddb4cc48f32c4a2159a3f951c0f00d059,no_known_test_exposure,none
candidate-c,sentiment-eval-candidate-v1,train,37,1285,neutral,class_5e9e1d700c265eac,representative_random,ojk_rss,2026-04-02 00:00:00,,a1d856ad4ce0cb96f77ae234d25d454385a2aff8ea34c9a1936766d77b026102,no_known_test_exposure,none
candidate-c,sentiment-eval-candidate-v1,train,38,1218,neutral,class_738e2a903ed15711,representative_random,ojk_rss,2026-03-27 00:00:00,,5d96a360b5e42f6ae8a51e408e33252572386b953c4e18517c082b2447b9df30,no_known_test_exposure,none
