ticker,yahoo_symbol,company_name,sector_group,freeze_status,selection_source,availability_status,history_precheck,liquidity_precheck,manual_review_required,notes
BBCA,BBCA.JK,Bank Central Asia Tbk,finance,frozen,repo_anchor,in_repo_clean_rebuild,pass_known_long_history,pass_known_large_liquid,no,"Frozen from scaffold: clean rebuild already exists and anchor status is clear."
BBRI,BBRI.JK,Bank Rakyat Indonesia Tbk,finance,frozen,repo_anchor,in_repo_clean_rebuild,pass_known_long_history,pass_known_large_liquid,no,"Frozen from scaffold: clean rebuild already exists and anchor status is clear."
BMRI,BMRI.JK,Bank Mandiri Tbk,finance,frozen,repo_anchor,in_repo_clean_rebuild,pass_known_long_history,pass_known_large_liquid,no,"Frozen from scaffold: clean rebuild already exists and anchor status is clear."
BBNI,BBNI.JK,Bank Negara Indonesia Tbk,finance,frozen,manual_provisional,external_candidate_list_needed,assumed_long_history,assumed_liquid,no,"Frozen by hard-floor 24 approval."
BBTN,BBTN.JK,Bank Tabungan Negara Tbk,finance,frozen,manual_provisional,external_candidate_list_needed,assumed_long_history,assumed_liquid,no,"Frozen by final universe expansion approval."
TLKM,TLKM.JK,Telkom Indonesia Tbk,telco,frozen,repo_anchor,in_repo_clean_rebuild,pass_known_long_history,pass_known_large_liquid,no,"Frozen from scaffold: clean rebuild already exists and anchor status is clear."
EXCL,EXCL.JK,XL Axiata Tbk,telco,frozen,manual_provisional,external_candidate_list_needed,assumed_long_history,assumed_liquid,no,"Frozen by hard-floor 24 approval."
ISAT,ISAT.JK,Indosat Tbk,telco,frozen,manual_provisional,external_candidate_list_needed,assumed_long_history,assumed_liquid,no,"Frozen by hard-floor 24 approval."
PGAS,PGAS.JK,Perusahaan Gas Negara Tbk,infrastructure,frozen,manual_provisional,external_candidate_list_needed,assumed_long_history,assumed_liquid,no,"Frozen by hard-floor 24 approval."
ASII,ASII.JK,Astra International Tbk,industrial,frozen,repo_anchor,in_repo_clean_rebuild,pass_known_long_history,pass_known_large_liquid,no,"Frozen from scaffold: clean rebuild already exists and anchor status is clear."
UNTR,UNTR.JK,United Tractors Tbk,industrial,frozen,manual_provisional,external_candidate_list_needed,assumed_long_history,assumed_liquid,no,"Frozen by hard-floor 24 approval."
ADRO,ADRO.JK,Adaro Energy Indonesia Tbk,energy,frozen,repo_present,in_repo_raw_only,pass_known_long_history,pass_known_liquidity_floor,no,"Frozen from scaffold: repo metadata already marks long-history and liquidity floor pass; clean rebuild will happen after full file is complete."
PTBA,PTBA.JK,Bukit Asam Tbk,energy,frozen,manual_provisional,external_candidate_list_needed,assumed_long_history,assumed_liquid,no,"Frozen by hard-floor 24 approval."
ITMG,ITMG.JK,Indo Tambangraya Megah Tbk,energy,frozen,manual_provisional,external_candidate_list_needed,assumed_long_history,assumed_liquid,no,"Frozen by hard-floor 24 approval."
MEDC,MEDC.JK,Medco Energi Internasional Tbk,energy,frozen,manual_provisional,external_candidate_list_needed,assumed_long_history,assumed_liquid,no,"Frozen by final universe expansion approval."
ANTM,ANTM.JK,Aneka Tambang Tbk,materials,frozen,manual_provisional,external_candidate_list_needed,assumed_long_history,assumed_liquid,no,"Frozen by hard-floor 24 approval."
INCO,INCO.JK,Vale Indonesia Tbk,materials,frozen,manual_provisional,external_candidate_list_needed,assumed_long_history,assumed_liquid,no,"Frozen by final universe expansion approval."
INDF,INDF.JK,Indofood Sukses Makmur Tbk,consumer,frozen,repo_present,in_repo_raw_only,pass_known_long_history,pass_known_liquidity_floor,no,"Frozen from scaffold: repo metadata already marks long-history and liquidity floor pass; clean rebuild will happen after full file is complete."
ICBP,ICBP.JK,Indofood CBP Sukses Makmur Tbk,consumer,frozen,repo_present,in_repo_raw_only,pass_known_long_history,pass_known_liquidity_floor,no,"Frozen from scaffold: repo metadata already marks long-history and liquidity floor pass; clean rebuild will happen after full file is complete."
MYOR,MYOR.JK,Mayora Indah Tbk,consumer,frozen,manual_provisional,external_candidate_list_needed,assumed_long_history,assumed_liquid,no,"Frozen by hard-floor 24 approval."
KLBF,KLBF.JK,Kalbe Farma Tbk,healthcare,frozen,manual_provisional,external_candidate_list_needed,assumed_long_history,assumed_liquid,no,"Frozen by hard-floor 24 approval."
UNVR,UNVR.JK,Unilever Indonesia Tbk,consumer,frozen,repo_anchor,in_repo_clean_rebuild,pass_known_long_history,pass_known_liquidity_floor,no,"Frozen from scaffold: clean rebuild already exists and anchor status is clear."
CPIN,CPIN.JK,Charoen Pokphand Indonesia Tbk,consumer,frozen,manual_provisional,external_candidate_list_needed,assumed_long_history,assumed_liquid,no,"Frozen by hard-floor 24 approval."
JPFA,JPFA.JK,Japfa Comfeed Indonesia Tbk,consumer,frozen,manual_provisional,external_candidate_list_needed,assumed_long_history,assumed_liquid,no,"Frozen by final universe expansion approval."
SMGR,SMGR.JK,Semen Indonesia Tbk,materials,frozen,manual_provisional,external_candidate_list_needed,assumed_long_history,assumed_liquid,no,"Frozen by hard-floor 24 approval."
INTP,INTP.JK,Indocement Tunggal Prakarsa Tbk,materials,frozen,manual_provisional,external_candidate_list_needed,assumed_long_history,assumed_liquid,no,"Frozen by final universe expansion approval."
JSMR,JSMR.JK,Jasa Marga Tbk,infrastructure,frozen,manual_provisional,external_candidate_list_needed,assumed_long_history,assumed_liquid,no,"Frozen by hard-floor 24 approval."
AKRA,AKRA.JK,AKR Corporindo Tbk,industrial,frozen,manual_provisional,external_candidate_list_needed,assumed_long_history,assumed_liquid,no,"Frozen by hard-floor 24 approval."
TPIA,TPIA.JK,Chandra Asri Pacific Tbk,materials,frozen,manual_provisional,external_candidate_list_needed,assumed_long_history,assumed_liquid,no,"Frozen by hard-floor 24 approval."
ACES,ACES.JK,Ace Hardware Indonesia Tbk,consumer,frozen,manual_provisional,external_candidate_list_needed,assumed_long_history,assumed_liquid,no,"Frozen by final universe expansion approval."
