candidate_id,dataset_version,split,article_id,manual_label_id,label,group_id,sample_method,source,publication_timestamp,target_entity,exact_text_sha256,historical_exposure_status,conflict_status
candidate-b,sentiment-eval-candidate-v1,train,13,91,positive,class_b207bd1196d104ab,legacy_hard_case,unknown,2026-04-18 09:00:00,BBCA,40c735583f88063288ee1685514ca69167f51bc91f454a74f24f9d24216c1763,active_test_148,none
candidate-b,sentiment-eval-candidate-v1,train,14,689,neutral,class_5e3c2935d23a7eda,legacy_hard_case,unknown,2026-04-17 09:00:00,BBRI,d8f55fa2404b5547036d2358a512537c6ee24f0fd06eea03cd9f78bde6790f84,r5b_153,none
candidate-b,sentiment-eval-candidate-v1,train,15,388,neutral,class_e77ba63ac92b4390,legacy_hard_case,unknown,2026-04-16 09:00:00,TLKM,4373f5a4c585af8b25782db1c3ccfdef82554277fad3a5e38d510b9cfb3d9219,no_known_test_exposure,none
candidate-b,sentiment-eval-candidate-v1,train,16,248,neutral,class_7406cf6f3c15ea92,legacy_hard_case,unknown,2026-04-15 09:00:00,GOTO,732dcb344fa78874860498d24577e2cda58d634e56e8ecbcfaf5205b360d10dc,active_test_148,none
candidate-b,sentiment-eval-candidate-v1,train,18,95,neutral,class_92326e5bca0e6fa8,legacy_hard_case,unknown,2026-04-13 09:00:00,,59742f48ee054b5e2e67d406a2852b2485b71a8af13de716b21a60ebfaa016b1,no_known_test_exposure,none
candidate-b,sentiment-eval-candidate-v1,train,21,392,neutral,class_c79990e24f5afed0,legacy_hard_case,unknown,2026-04-10 09:00:00,ADRO,91548d3e0a3830ae925d3eedb6a29b06a8a7b4ab431481bbca91914cbe378f61,active_test_148,none
candidate-b,sentiment-eval-candidate-v1,train,23,437,neutral,class_714a1f83490396c9,legacy_hard_case,rss_local,2026-04-15 08:34:49,BBCA,335667b2648a6ab6c126a6b6870200f20c607a0327980525d2fdd825bc82ecd3,multiple_previous_test_sets,none
candidate-b,sentiment-eval-candidate-v1,train,24,1664,neutral,class_dd8f17736a15160e,representative_random,ojk_rss,2026-07-07 00:01:37,,2021b2a039033a4eba8a994f8405ceaeda2809863101a7f5602ef0cccd26fd28,no_known_test_exposure,none
candidate-b,sentiment-eval-candidate-v1,train,25,1675,neutral,class_37037671678fd6e1,representative_random,ojk_rss,2026-07-07 00:01:19,,62acdf90d059d137e162277451bc1b13f0aaabe47670482bf38efa3f63ef20bc,no_known_test_exposure,none
candidate-b,sentiment-eval-candidate-v1,train,26,1883,neutral,class_9c1ae7264d50ef66,representative_random,ojk_rss,2026-07-07 00:01:39,,43b4a31997fe97f546bce3687cd672e7c5f0fe7dcd837af7d9c68d0fcc61f7c9,no_known_test_exposure,none
candidate-b,sentiment-eval-candidate-v1,train,31,1709,neutral,class_47b3a4502a292b04,representative_random,ojk_rss,2026-07-07 00:01:32,,12eac4b06f0ead55fde7e1ce47475e3e24913a6e3fa1706be9b2c8cdffcc7a42,no_known_test_exposure,none
candidate-b,sentiment-eval-candidate-v1,train,32,1154,neutral,class_bb4e484b285322a4,representative_random,ojk_rss,2026-04-13 00:00:00,,14fcbeceeb247bc45fa58fdeb0d42df780ef95b8fc485b51ea5f4f28caf62c6b,no_known_test_exposure,none
candidate-b,sentiment-eval-candidate-v1,train,33,1124,neutral,class_f298e19dc7eed937,representative_random,ojk_rss,2026-04-13 00:00:00,,065a8f987e0f368e9d2d3c4a7dc570bce57e412d7523ed2f0253d5b5da9084bd,no_known_test_exposure,none
candidate-b,sentiment-eval-candidate-v1,train,35,231,positive,class_1a800fd6ba8dcf24,legacy_hard_case,ojk_rss,2026-04-08 00:00:00,,c5f5d9af824e968e25e8cd0563eae2b8497b3a0bcc3474f277cb4a7a1d16ba62,no_known_test_exposure,none
candidate-b,sentiment-eval-candidate-v1,train,36,1583,neutral,class_4b944ba9a298ec17,representative_random,ojk_rss,2026-04-07 00:00:00,,9c3501046361deb4160eddf4c8b25be32dd20ce1ff5c61533822ddcd14fea6bf,no_known_test_exposure,none
candidate-b,sentiment-eval-candidate-v1,train,37,1285,neutral,class_5e9e1d700c265eac,representative_random,ojk_rss,2026-04-02 00:00:00,,a1d856ad4ce0cb96f77ae234d25d454385a2aff8ea34c9a1936766d77b026102,no_known_test_exposure,none
candidate-b,sentiment-eval-candidate-v1,train,38,1218,neutral,class_738e2a903ed15711,representative_random,ojk_rss,2026-03-27 00:00:00,,5d96a360b5e42f6ae8a51e408e33252572386b953c4e18517c082b2447b9df30,no_known_test_exposure,none
candidate-b,sentiment-eval-candidate-v1,train,39,1371,neutral,class_2c2f96660c08425c,representative_random,rss_local,2026-04-18 14:36:59,BBCA,df98c94b2c1dfa809b11e6b7e1c03d902e446082bf09bc098169be02961ed45a,no_known_test_exposure,none
candidate-b,sentiment-eval-candidate-v1,train,40,1729,neutral,class_648044f5f966bcf3,representative_random,rss_local,2026-04-15 14:30:00,,14ecfa9c5bfeb891c16d34dcdba71042f9ce783fd1b19b062c313bb962bf95c5,no_known_test_exposure,none
candidate-b,sentiment-eval-candidate-v1,train,41,458,neutral,class_da02e373f7cb13c7,legacy_hard_case,gnews,2026-03-29 14:02:03,BBRI,d232b51909c31b1ba9ec8b075b1587ddb9adf61b25d59c5c986e55f566ded8dd,no_known_test_exposure,none
candidate-b,sentiment-eval-candidate-v1,train,42,1616,neutral,class_66dc0fb949641d4e,representative_random,rss_local,2025-12-16 14:37:07,BBRI,db333ec8dbab713e82e4e8cb1d0d617566ce6dd36816de0376bfc6a3b3ef519c,no_known_test_exposure,none
candidate-b,sentiment-eval-candidate-v1,train,43,608,neutral,class_aa2f99bddfd04eb9,legacy_hard_case,rss_local,2026-04-19 19:30:44,,209ba13ea340cadd94f9901a94cab8e80cf4375405c919241c1093551efe2e67,active_test_148,none
candidate-b,sentiment-eval-candidate-v1,train,44,1085,neutral,class_3d82abc76cba0512,representative_random,rss_local,2026-04-15 18:00:00,,6a730a31be230dfb0fda990c2d9ebf981bc3c042411b98a8625b7b71186e2d34,no_known_test_exposure,none
candidate-b,sentiment-eval-candidate-v1,train,45,509,neutral,class_91170c4e274230b6,legacy_hard_case,newsapi,2026-04-17 16:43:16,BBRI,7697460a70e5f5b3f2659e941e2a0335bed91c3a592445e9870cbb39150265fd,no_known_test_exposure,none
candidate-b,sentiment-eval-candidate-v1,train,46,1875,neutral,class_5d7faf196817685a,representative_random,gnews,2026-04-16 06:33:51,BMRI,940bf80a684e8192d9d144eceefede5c6bb21b6b0f18b69330bc967a1275845c,no_known_test_exposure,none
candidate-b,sentiment-eval-candidate-v1,train,47,1723,neutral,class_7174705ee5b8c579,representative_random,gnews,2026-03-26 14:30:08,BMRI,082dec226c6d4663911e36fa8d0dd9ab9d626e2e0a180f4da88fdfc8118da01f,no_known_test_exposure,none
candidate-b,sentiment-eval-candidate-v1,train,48,975,neutral,class_91ccc19bc0418279,legacy_hard_case,rss_local,2026-04-19 18:45:05,TLKM,5f8a6a10feb5f85e99e7ce9e1394d85284324a8010a4ac5b0fcf919e2e5e467d,no_known_test_exposure,none
candidate-b,sentiment-eval-candidate-v1,train,49,1423,neutral,class_740e155f758e89e2,representative_random,rss_local,2026-04-17 20:40:30,TLKM,3527764cd0921a0789936a50992fc71b88bb1f5f595918cba3e91e208ff52066,no_known_test_exposure,none
candidate-b,sentiment-eval-candidate-v1,train,51,426,positive,class_ce1ca12914054d24,legacy_hard_case,rss_local,2026-04-19 09:45:58,TLKM,559cd0fba7fd1d2578629d7fce90151840ea3a77dc5aefb36d734f6a36594dd5,active_test_148,none
candidate-b,sentiment-eval-candidate-v1,train,52,723,neutral,class_c7b00c0844032003,legacy_hard_case,rss_local,2026-04-17 20:53:02,TLKM,f0eb1deace2ac34bbeb82fa636c8a7b05dc2b4103e201dbea8c278b6846ae70d,no_known_test_exposure,none
candidate-b,sentiment-eval-candidate-v1,train,53,1810,neutral,class_aac5494da9df61e3,representative_random,ojk_rss,2026-01-30 00:00:00,,78f4d75ec52485f32753d05b95792b26cceec2c958137bc633b2e350bbd2b45f,no_known_test_exposure,none
candidate-b,sentiment-eval-candidate-v1,train,54,1845,neutral,class_d5adb5872a9ff1f7,representative_random,ojk_rss,2026-01-13 00:00:00,,c1f35143bc90e7bff1b84f0de80dc63357d8b6b78d617992329ae7711c2c6fb7,no_known_test_exposure,none
candidate-b,sentiment-eval-candidate-v1,train,55,1356,neutral,class_fcaeaeeadaa2637e,representative_random,ojk_rss,2026-02-20 00:00:00,,7dc20fd9f8f30c80c49c61ce935875b8d6d4ddab93b595aa55b095959a88d9f5,no_known_test_exposure,none
candidate-b,sentiment-eval-candidate-v1,train,56,1332,neutral,class_575d2340d5c91a2c,representative_random,ojk_rss,2026-02-09 00:00:00,,95225b67d14b8d8962b35f4d3bce86b617f5e5fb6eb8533c2f58fce2e0115cde,no_known_test_exposure,none
candidate-b,sentiment-eval-candidate-v1,train,57,1642,neutral,class_58beea5b5497ff8d,representative_random,ojk_rss,2026-01-30 00:00:00,,8ff7f7dfa90d19663fe51810650da4c217747e0fa78a5ff1b075a49a2b3716ed,no_known_test_exposure,none
candidate-b,sentiment-eval-candidate-v1,train,59,425,neutral,class_3994a53c8fb8feab,legacy_hard_case,ojk_rss,2026-01-02 00:00:00,,59d7a956e5612d69b8c3e8660de67393cd84a3d13dc9fe9dece7b1c37ebf1a1a,no_known_test_exposure,none
candidate-b,sentiment-eval-candidate-v1,train,61,1491,neutral,class_737ce9a40bb48ecc,representative_random,ojk_rss,2026-03-13 00:00:00,,622f95444529f7466eed4bcc2cb1bd8253ff7d0a49f15026427f08df5eead764,no_known_test_exposure,none
candidate-b,sentiment-eval-candidate-v1,train,62,1881,neutral,class_7cbfd033de74e283,representative_random,ojk_rss,2026-02-28 00:00:00,,4f83511892c8e12ae754d2cd255a039f5d0f7fa43f8c3f9349910c8e02a8ae1b,no_known_test_exposure,none
candidate-b,sentiment-eval-candidate-v1,train,63,1319,neutral,class_fe11cb6029c9a058,representative_random,ojk_rss,2026-02-12 00:00:00,,c2fefa2e4ced40d0bc7cc2e7b00d95e9c704c0646df914f204eedd4783e06d3c,no_known_test_exposure,none
candidate-b,sentiment-eval-candidate-v1,train,64,1296,neutral,class_a567f98efb00cea0,representative_random,ojk_rss,2026-02-07 00:00:00,,6c476e0a5a592c223a6485b15bd80e048e2b6fe97176d9a402fad84b590c5264,no_known_test_exposure,none
candidate-b,sentiment-eval-candidate-v1,train,67,1490,neutral,class_38bb0a689449d23b,representative_random,ojk_rss,2026-01-15 00:00:00,,7fb3b56b6db50a2bebea733502286921a039e4cb400da4407be67a5272431925,no_known_test_exposure,none
candidate-b,sentiment-eval-candidate-v1,train,70,1213,neutral,class_6899d62e62a9b48b,representative_random,ojk_rss,2026-03-04 00:00:00,,5e0c5d1c3b14c14a304f2b4d93dfbe3d54503f4d7df5d40639dbec4228941184,no_known_test_exposure,none
candidate-b,sentiment-eval-candidate-v1,train,71,738,neutral,class_82ce636c5e2e5907,legacy_hard_case,ojk_rss,2026-02-06 00:00:00,,65bfcf91b55bf4ec0193df592a6b2b6f37016a8ca7b0cc6a4f1bf8095c840e92,r5b_153,none
candidate-b,sentiment-eval-candidate-v1,train,73,1111,positive,class_613fc09f8833f7c4,representative_random,ojk_rss,2026-02-01 00:00:00,,17c365fc26fe720478dd477ec6f0de9343a0ccc527b2217835c6eef4979231cb,no_known_test_exposure,none
candidate-b,sentiment-eval-candidate-v1,train,74,1328,neutral,class_a8ddd652cd75bb01,representative_random,ojk_rss,2026-01-29 00:00:00,,ea0c610a250993664ed5e46ba3fab732f871ebbfcac9ce2791d6107ec03723af,no_known_test_exposure,none
candidate-b,sentiment-eval-candidate-v1,train,76,1225,neutral,class_defb2b38fbd32060,representative_random,ojk_rss,2026-01-27 00:00:00,,31e9a11343b408e16baee76052d0820e9d35037a0f5bfc177729cda51eee97e9,no_known_test_exposure,none
