event_group_candidate_id,article_ids,target_entity,date_range,confidence,evidence,hard_constraint,notes
event_60386fc1c5cfc3da,1038|1156|13|213|333,,,high,duplicate_or_near_duplicate_group,true,derived without external model
event_e5cf056f0fb52b03,1356|14|1531|1653|747,,,high,duplicate_or_near_duplicate_group,true,derived without external model
event_eaa339db69abc3d7,1098|1179|15|1677|705,,,high,duplicate_or_near_duplicate_group,true,derived without external model
event_3863cc7e5a36a442,1225|1402|16|946|974,,,high,duplicate_or_near_duplicate_group,true,derived without external model
event_ab258c1607916a86,1110|17|1713|1856,,,high,duplicate_or_near_duplicate_group,true,derived without external model
event_f9b5569b4914d5a7,18|197|689|975,,,high,duplicate_or_near_duplicate_group,true,derived without external model
event_115de2ea1c617912,19|968,,,high,duplicate_or_near_duplicate_group,true,derived without external model
event_b2f670b30cfeaecb,1417|1843|20,,,high,duplicate_or_near_duplicate_group,true,derived without external model
event_0f87336099f7ca81,1145|1421|21|414,,,high,duplicate_or_near_duplicate_group,true,derived without external model
event_c561331d76f364a3,1187|1694|22|522,,,high,duplicate_or_near_duplicate_group,true,derived without external model
event_0af5fd3386e66241,185|215|23|341|405,,,high,duplicate_or_near_duplicate_group,true,derived without external model
event_ec63577887c47142,1251|1518|1595|24|536,,,high,duplicate_or_near_duplicate_group,true,derived without external model
event_546fc8d38e34194a,1190|1509|25|451|983,,,high,duplicate_or_near_duplicate_group,true,derived without external model
event_12085d7bf6d10c88,1410|26|37|787|803,,,high,duplicate_or_near_duplicate_group,true,derived without external model
event_fcafec35b6a0e700,1318|1577|27|596|988,,,high,duplicate_or_near_duplicate_group,true,derived without external model
event_d93c8be8240b0781,1004|1473|1795|28|752,,,high,duplicate_or_near_duplicate_group,true,derived without external model
event_7c4f67ac932ac336,1021|152|1858|267|29|462|499|612,,,high,duplicate_or_near_duplicate_group,true,derived without external model
event_b995dc12d3343cba,1122|1124|1553|1740|177|252|30|308|835,,,high,duplicate_or_near_duplicate_group,true,derived without external model
event_7cb60a91de007e0c,1170|165|31|450|58|839,,,high,duplicate_or_near_duplicate_group,true,derived without external model
event_a7ed20f74a7e1293,1054|1563|32|438,,,high,duplicate_or_near_duplicate_group,true,derived without external model
event_89c65c6e138b7ffe,1676|33|731,,,high,duplicate_or_near_duplicate_group,true,derived without external model
event_21714ef7262cb9e7,1491|1527|1788|34|730|962,,,high,duplicate_or_near_duplicate_group,true,derived without external model
event_85ec97e6accb3553,1433|35,,,high,duplicate_or_near_duplicate_group,true,derived without external model
event_46ccb7bc1346fb37,1086|283|36|447|906,,,high,duplicate_or_near_duplicate_group,true,derived without external model
event_710f3e75354b07d6,1245|1881|38|615,,,high,duplicate_or_near_duplicate_group,true,derived without external model
event_daf24a16bdef7305,1074|1525|1791|257|263|39|631|96,,,high,duplicate_or_near_duplicate_group,true,derived without external model
event_28c237c64ee825ee,1113|1866|40,,,high,duplicate_or_near_duplicate_group,true,derived without external model
event_ca2467857dd340ea,1308|41,,,high,duplicate_or_near_duplicate_group,true,derived without external model
event_340f3a066474eff0,1174|1882|210|42|871,,,high,duplicate_or_near_duplicate_group,true,derived without external model
event_4db3ba04d3172752,1445|1558|1605|167|1693|315|43|714,,,high,duplicate_or_near_duplicate_group,true,derived without external model
event_a4fa982f4347d1aa,1081|1188|1270|1899|44|64|98,,,high,duplicate_or_near_duplicate_group,true,derived without external model
event_a1a8ae1078cb3b20,1139|1623|335|45|607|93|97,,,high,duplicate_or_near_duplicate_group,true,derived without external model
event_7d82181d39f3cd0e,1721|276|46,,,high,duplicate_or_near_duplicate_group,true,derived without external model
event_d57897a82ae92230,1148|1738|1854|47|642|813|920,,,high,duplicate_or_near_duplicate_group,true,derived without external model
event_3f3363748eb56e12,1412|1768|48,,,high,duplicate_or_near_duplicate_group,true,derived without external model
event_9bec7640d99b8429,1066|49|611|796|958,,,high,duplicate_or_near_duplicate_group,true,derived without external model
event_98c6838ba68d0901,1167|1359|1672|1828|353|50|515|965,,,high,duplicate_or_near_duplicate_group,true,derived without external model
event_897e29ab2bd62f71,1471|51|571|684|758,,,high,duplicate_or_near_duplicate_group,true,derived without external model
event_79f2dd14343aa99a,1112|1293|1689|379|52,,,high,duplicate_or_near_duplicate_group,true,derived without external model
event_c474633daf8204c8,102|187|53|738|846,,,high,duplicate_or_near_duplicate_group,true,derived without external model
event_2d7e16452b749a0c,1604|1884|54,,,high,duplicate_or_near_duplicate_group,true,derived without external model
event_646c705fbc5ad648,1105|275|486|55,,,high,duplicate_or_near_duplicate_group,true,derived without external model
event_b0564921f9d4f562,1439|56|722,,,high,duplicate_or_near_duplicate_group,true,derived without external model
event_830f8629de207a27,1127|288|437|59,,,high,duplicate_or_near_duplicate_group,true,derived without external model
event_725c943dd150c0d5,1109|1565|1756|1851|345|586|60,,,high,duplicate_or_near_duplicate_group,true,derived without external model
event_f61c5e312df7f546,1780|61,,,high,duplicate_or_near_duplicate_group,true,derived without external model
event_4e5229bdb3b85ea8,1515|1837|62,,,high,duplicate_or_near_duplicate_group,true,derived without external model
event_199275ce588e3517,1536|1609|63|989,,,high,duplicate_or_near_duplicate_group,true,derived without external model
event_603974b377f9d995,1472|65|702,,,high,duplicate_or_near_duplicate_group,true,derived without external model
event_55752f4094e2778e,1483|66|926,,,high,duplicate_or_near_duplicate_group,true,derived without external model
event_71216c5b49822b2c,1584|1730|67,,,high,duplicate_or_near_duplicate_group,true,derived without external model
event_d88350c700f82e63,1295|1685|400|68|914,,,high,duplicate_or_near_duplicate_group,true,derived without external model
event_afabb7c7dcf4c7bf,1243|1266|1736|1747|69|73|799,,,high,duplicate_or_near_duplicate_group,true,derived without external model
event_e43843dd65c3f3ba,1630|1707|70,,,high,duplicate_or_near_duplicate_group,true,derived without external model
event_730bf906fc895978,1542|198|590|71,,,high,duplicate_or_near_duplicate_group,true,derived without external model
event_530e73cdb9dbfd26,1222|1714|1839|1860|72,,,high,duplicate_or_near_duplicate_group,true,derived without external model
event_8dacfc4d99a4f20e,74|83,,,high,duplicate_or_near_duplicate_group,true,derived without external model
event_871e25e94a38b6d0,1180|1352|331|75,,,high,duplicate_or_near_duplicate_group,true,derived without external model
event_032750c7fd24c471,119|1663|241|274|368|77|791|853,,,high,duplicate_or_near_duplicate_group,true,derived without external model
event_32fcc6b69e505fb4,1869|346|78|986,,,high,duplicate_or_near_duplicate_group,true,derived without external model
event_09c57932eaeb265f,1033|176|79,,,high,duplicate_or_near_duplicate_group,true,derived without external model
event_996462ba81e46557,205|80,,,high,duplicate_or_near_duplicate_group,true,derived without external model
