slice_id,slice_label,slice_group,date_start,date_end,slice_date_count,variant_id,variant_label,score_column,selection_mode,top_pct,active_ticker_count_median,active_ticker_count_min,active_ticker_count_max,active_ticker_count_mean,active_single_ticker_day_pct,total_signals,total_trades,median_trade_retention,avg_delta_win_rate,avg_delta_average_return,tickers_with_coverage_collapse,coverage_collapse_tickers,sample_adequacy_risk,sample_adequacy_reason
full_period,Full period,all_dates,2000-06-06,2026-04-22,6437,top_22_5pct_return_20d,Top 22.5% by return_20d,rs_score_return_20d,top_pct,0.225,9.0,0,12,7.2778,0.0,8910,4581,48.3193,-0.6218,0.0937,0,[],low,Sample cukup untuk prototype dan tidak menunjukkan penyempitan berlebihan.
full_period,Full period,all_dates,2000-06-06,2026-04-22,6437,top_25pct_return_20d,Top 25% by return_20d,rs_score_return_20d,top_pct,0.25,10.0,0,13,7.8692,0.0,9537,4889,50.4202,-0.6731,0.2682,0,[],low,Sample cukup untuk prototype dan tidak menunjukkan penyempitan berlebihan.
full_period,Full period,all_dates,2000-06-06,2026-04-22,6437,top_27_5pct_return_20d,Top 27.5% by return_20d,rs_score_return_20d,top_pct,0.275,11.0,0,15,8.6919,0.0,10334,5265,54.7945,-0.7294,-0.0351,0,[],low,Sample cukup untuk prototype dan tidak menunjukkan penyempitan berlebihan.
full_period,Full period,all_dates,2000-06-06,2026-04-22,6437,top_30pct_return_20d,Top 30% by return_20d,rs_score_return_20d,top_pct,0.3,12.0,0,16,9.366,0.0,10970,5557,57.5342,-0.838,-0.0237,0,[],low,Sample cukup untuk prototype dan tidak menunjukkan penyempitan berlebihan.
time_early,Time Early,time,2000-06-06,2008-10-30,2146,top_22_5pct_return_20d,Top 22.5% by return_20d,rs_score_return_20d,top_pct,0.225,6.0,0,9,4.8998,0.0,2088,1043,40.0,-0.8423,0.067,3,"['JSMR', 'MNCN', 'TPIA']",high,Selection terlalu sempit untuk universe pilot saat ini atau trade sample turun terlalu jauh.
time_early,Time Early,time,2000-06-06,2008-10-30,2146,top_25pct_return_20d,Top 25% by return_20d,rs_score_return_20d,top_pct,0.25,6.0,0,10,5.2162,0.0,2215,1097,42.2018,-0.91,0.1309,3,"['JSMR', 'MNCN', 'TPIA']",high,Selection terlalu sempit untuk universe pilot saat ini atau trade sample turun terlalu jauh.
time_early,Time Early,time,2000-06-06,2008-10-30,2146,top_27_5pct_return_20d,Top 27.5% by return_20d,rs_score_return_20d,top_pct,0.275,7.0,0,11,5.6808,0.0,2388,1174,44.898,-1.2812,0.1041,3,"['JSMR', 'MNCN', 'TPIA']",high,Selection terlalu sempit untuk universe pilot saat ini atau trade sample turun terlalu jauh.
time_early,Time Early,time,2000-06-06,2008-10-30,2146,top_30pct_return_20d,Top 30% by return_20d,rs_score_return_20d,top_pct,0.3,8.0,0,12,6.2293,0.0,2598,1266,50.0,-1.6033,0.1549,3,"['JSMR', 'MNCN', 'TPIA']",high,Selection terlalu sempit untuk universe pilot saat ini atau trade sample turun terlalu jauh.
time_mid,Time Mid,time,2008-10-31,2017-07-31,2146,top_22_5pct_return_20d,Top 22.5% by return_20d,rs_score_return_20d,top_pct,0.225,11.0,0,12,8.9473,0.0,3497,1831,43.9655,-0.0868,-0.0004,0,[],low,Sample cukup untuk prototype dan tidak menunjukkan penyempitan berlebihan.
time_mid,Time Mid,time,2008-10-31,2017-07-31,2146,top_25pct_return_20d,Top 25% by return_20d,rs_score_return_20d,top_pct,0.25,12.0,0,13,9.74,0.0,3759,1957,47.8364,-0.1226,-0.0036,0,[],low,Sample cukup untuk prototype dan tidak menunjukkan penyempitan berlebihan.
