ticker,variant_id,candidate_id,comparison_role,entry_rule,entry_anchor_rule,quality_gate_id,exit_rule_id,exit_rule_summary,max_hold_period,stop_loss_pct,take_profit_pct,ema20_fail_exit,min_trades_threshold,profit_buffer_pct,applied_threshold,candidate_signal_count,candidate_total_trades,candidate_eligible_for_analysis,win_rate,buffered_win_rate,average_return,max_drawdown,score_quality_reward,score_trade_support_reward,score_drawdown_penalty,score_low_trade_penalty,score,exit_reason_counts,category,market_cap_group,sector,beta_group
ADRO,baseline_reference,baseline_v2_hold3_with_trend_guard,reference,close_gt_ema50_and_bullish_candle,close_gt_ema50_and_bullish_candle,none,fixed_hold_3,Reference baseline fixed hold 3.,3,0.0,0.0,False,5,0.0,1.5,5,1,False,100.0,100.0,2.4793,0.0,31.1983,3.5,0.0,30.0,4.6983,max_hold:1,energy,,energi,
ADRO,baseline_v3_ema20_trend_guard,baseline_v3_ema20_trend_guard,v3_control,close_gt_ema20_and_bullish_candle,close_gt_ema20_and_bullish_candle,none,fixed_hold_3,Fast anchor control fixed hold 3.,3,0.0,0.0,False,5,0.0,1.5,16,7,True,42.86,42.8571,-0.3034,6.6731,9.9558,17.5,3.0029,0.0,24.4529,max_hold:7,energy,,energi,
ADRO,baseline_v4_quality_gate_guard,baseline_v4_quality_gate_guard,v4_anchor_control,close_gt_ema20_and_bullish_candle,close_gt_ema20_and_bullish_candle,body_strength_floor,fixed_hold_3,Baseline v4 iterasi pertama fixed hold 3.,3,0.0,0.0,False,5,0.0,1.5,7,3,False,33.33,33.3333,-0.5145,2.3726,7.0471,10.5,1.0677,22.0,-5.5206,max_hold:3,energy,,energi,
ADRO,baseline_v5_hold4_extension,baseline_v5_hold4_extension,v5_candidate,close_gt_ema20_and_bullish_candle,close_gt_ema20_and_bullish_candle,body_strength_floor,fixed_hold_4,Perpanjang hold dari 3 menjadi 4 bar tanpa exit tambahan.,4,0.0,0.0,False,5,0.0,1.5,7,3,False,66.67,66.6667,1.4496,4.1985,20.2907,10.5,1.8893,22.0,6.9014,max_hold:3,energy,,energi,
ADRO,baseline_v5_hold5_stop3_take6,baseline_v5_hold5_stop3_take6,v5_candidate,close_gt_ema20_and_bullish_candle,close_gt_ema20_and_bullish_candle,body_strength_floor,hold5_with_stop3_take6,Max hold 5 bar dengan stop loss 3 persen dan take profit 6 persen.,5,3.0,6.0,False,5,0.0,1.5,7,5,True,0.0,0.0,-3.0,11.4707,-7.5,17.5,5.1618,0.0,4.8382,stop_loss:5,energy,,energi,
ADRO,baseline_v5_hold5_extension,baseline_v5_hold5_extension,v5_candidate,close_gt_ema20_and_bullish_candle,close_gt_ema20_and_bullish_candle,body_strength_floor,fixed_hold_5,Perpanjang hold menjadi 5 bar untuk menangkap follow-through lebih lama.,5,0.0,0.0,False,5,0.0,1.5,7,3,False,66.67,66.6667,-1.4656,8.0153,13.0027,10.5,3.6069,22.0,-2.1042,max_hold:3,energy,,energi,
ADRO,baseline_v5_hold5_ema20_fail_exit,baseline_v5_hold5_ema20_fail_exit,v5_candidate,close_gt_ema20_and_bullish_candle,close_gt_ema20_and_bullish_candle,body_strength_floor,hold5_with_ema20_fail_exit,Max hold 5 bar tetapi keluar lebih cepat saat close jatuh di bawah EMA20.,5,0.0,0.0,True,5,0.0,1.5,7,3,False,66.67,66.6667,-1.4656,8.0153,13.0027,10.5,3.6069,22.0,-2.1042,"ema20_fail:1,max_hold:2",energy,,energi,
ASII,baseline_reference,baseline_v2_hold3_with_trend_guard,reference,close_gt_ema50_and_bullish_candle,close_gt_ema50_and_bullish_candle,none,fixed_hold_3,Reference baseline fixed hold 3.,3,0.0,0.0,False,5,0.0,1.5,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,-34.0,,automotive,,otomotif,
ASII,baseline_v3_ema20_trend_guard,baseline_v3_ema20_trend_guard,v3_control,close_gt_ema20_and_bullish_candle,close_gt_ema20_and_bullish_candle,none,fixed_hold_3,Fast anchor control fixed hold 3.,3,0.0,0.0,False,5,0.0,1.5,7,3,False,33.33,33.3333,-3.2357,3.4221,0.2441,10.5,1.5399,22.0,-12.7959,max_hold:3,automotive,,otomotif,
ASII,baseline_v4_quality_gate_guard,baseline_v4_quality_gate_guard,v4_anchor_control,close_gt_ema20_and_bullish_candle,close_gt_ema20_and_bullish_candle,body_strength_floor,fixed_hold_3,Baseline v4 iterasi pertama fixed hold 3.,3,0.0,0.0,False,5,0.0,1.5,3,2,False,50.0,50.0,-1.5078,0.0,8.7305,7.0,0.0,26.0,-10.2695,max_hold:2,automotive,,otomotif,
