group_version,article_content_group_id,classification_instance_group_id,article_id,manual_label_id,label,canonical_target_entity,target_entity_source,exact_text_sha256,normalized_title_hash,normalized_url_hash,duplicate_evidence,near_duplicate_group_id,true_conflict_status,sample_method,source,publication_timestamp,historical_exposure_status
sentiment-groups-v2,article_3fdba35f04dc8c46,class_b207bd1196d104ab,13,91,positive,BBCA,stock_code,40c735583f88063288ee1685514ca69167f51bc91f454a74f24f9d24216c1763,6c12ed561e362045fa38976ce2480e47cee43a1ba36425e89d3928cc4dcc6002,750831add589ab9b4907779a678dd9fab1f61f1f3c6a1be1c49c3859d5d91878,singleton,,none,legacy_hard_case,unknown,2026-04-18 09:00:00,active_test_148
sentiment-groups-v2,article_8527a891e2241369,class_5e3c2935d23a7eda,14,689,neutral,BBRI,stock_code,d8f55fa2404b5547036d2358a512537c6ee24f0fd06eea03cd9f78bde6790f84,5d096db88690441dbedfb7aa868897d151c0aeacceda9e14a14876e803abdd88,dc0106671faae763701a471487faef082858fd7171679a31737ad5e687868cd1,singleton,,none,legacy_hard_case,unknown,2026-04-17 09:00:00,r5b_153
sentiment-groups-v2,article_e629fa6598d73276,class_e77ba63ac92b4390,15,388,neutral,TLKM,stock_code,4373f5a4c585af8b25782db1c3ccfdef82554277fad3a5e38d510b9cfb3d9219,e82b8d56d143dde32be3a6e11b4a3ce02231ab22b443983d890e61a467b57492,442d7229e920ae0edb768f0fcd2ef8040a68ab9aa7ab14702bd862e771fd212f,singleton,,none,legacy_hard_case,unknown,2026-04-16 09:00:00,no_known_test_exposure
sentiment-groups-v2,article_b17ef6d19c7a5b1e,class_7406cf6f3c15ea92,16,248,neutral,GOTO,stock_code,732dcb344fa78874860498d24577e2cda58d634e56e8ecbcfaf5205b360d10dc,560ac0adf93502c5798206f4b8eba1fd4c9879998301f31a7125a594c68fabfb,7bba74cd364d1eda1719e81c4a17733f27887dc8d84957fc7acf6f0a9c76d32a,singleton,,none,legacy_hard_case,unknown,2026-04-15 09:00:00,active_test_148
sentiment-groups-v2,article_4523540f1504cd17,class_925c4175aac4a780,17,1177,neutral,ASII,stock_code,bbf899902652b8b7012e3a2b44e797355d8d4d2c2c63f29bd315742acb889ae7,3ca111880d778d966697293ca585d59f3bcd430e16295d45f141bdfb4153f61b,296e420e469baecfe834089f928b3b724a50cc2b75f9775a4dae9da05295b8fc,singleton,,none,representative_random,unknown,2026-04-14 09:00:00,no_known_test_exposure
sentiment-groups-v2,article_4ec9599fc203d176,class_92326e5bca0e6fa8,18,95,neutral,,missing,59742f48ee054b5e2e67d406a2852b2485b71a8af13de716b21a60ebfaa016b1,6005ee6bac5cd682b7d9aecb4a1deab3996b2d333037556b593a9ba58464f6da,96439adc621771a2d3f7cb4cd648d72ae5698d20577497f519daf446c687c88a,singleton,,none,legacy_hard_case,unknown,2026-04-13 09:00:00,no_known_test_exposure
sentiment-groups-v2,article_9400f1b21cb527d7,class_a8f6ceba11808907,19,1333,neutral,INDF,stock_code,12591c33852acd35d69bf913ba57eb82c538dc37feb7c92d243b6319698de8e4,6ea315da32ce1538ca0eefe455a84cfd15d555c8f699418d642d1e02f0621464,e5d026918250d41580e50dc461069ffe573cf7578c652cab398a6b7e350a6f6c,singleton,,none,representative_random,unknown,2026-04-12 09:00:00,no_known_test_exposure
sentiment-groups-v2,article_f5ca38f748a1d6ea,class_45326f85d16e67e6,20,286,positive,ICBP,stock_code,c33b2f67460d9909b559f164a650c7790c8378cde20d45605f92e8c8b9d79cb8,46421a0a735081655f9057eae66f4e620d01151ee658aa32ab2ed672207f3484,ad274daacbea9be62945111012c27c73422c6fa6e7f39bbefd01df5752ca0132,singleton,,none,legacy_hard_case,unknown,2026-04-11 09:00:00,no_known_test_exposure
sentiment-groups-v2,article_6f4b6612125fb3a0,class_c79990e24f5afed0,21,392,neutral,ADRO,stock_code,91548d3e0a3830ae925d3eedb6a29b06a8a7b4ab431481bbca91914cbe378f61,9e8b27aea7d703d19584c1128db56c8e92b5eac8d6ee02c80e46cddd1ed03050,00b17a045d2b774c772515c7476f5a2fbfafeae1a60199176a379257e632e8e2,singleton,,none,legacy_hard_case,unknown,2026-04-10 09:00:00,active_test_148
sentiment-groups-v2,article_785f3ec7eb32f30b,class_2ca7d3d82b6d36c0,22,16,positive,,missing,9e44267d909eea7a26ce52411c513534a86f29cc2f8059a9180a318a0ec1fe1a,08f0cf5b6179e2f7593033accba269a1048f592a9bcb28d0114622fa89fb4d1b,34c46d807b5e1f6887b33457838ba70782b386b517b5dc44981786010fb08541,singleton,,none,legacy_hard_case,unknown,2026-04-07 09:00:00,no_known_test_exposure
sentiment-groups-v2,article_535fa30d7e25dd8a,class_714a1f83490396c9,23,437,neutral,BBCA,stock_code,335667b2648a6ab6c126a6b6870200f20c607a0327980525d2fdd825bc82ecd3,5b47f2f52021ca50014093ce6ab57134b91139508cb171a8237942b50a58fd14,27ccab7a2735c186f1a13df894b76b4d3dbade8047f3b3056fa1a7cf59c4a024,singleton,,none,legacy_hard_case,rss_local,2026-04-15 08:34:49,multiple_previous_test_sets
sentiment-groups-v2,article_c2356069e9d1e79c,class_dd8f17736a15160e,24,1664,neutral,,missing,2021b2a039033a4eba8a994f8405ceaeda2809863101a7f5602ef0cccd26fd28,e2d3007c0b20d3f4f45a4f60f95befd952085bd295d1d9d04bfbca63c167e646,5b3506f395fb31aa8cdfa72f10a28b06da87fc853a881df9b666054fa7cb2035,singleton,,none,representative_random,ojk_rss,2026-07-07 00:01:37,no_known_test_exposure
