group_field,group_value,best_threshold,effective_confirmation_threshold,decision_confidence,decision_margin,ticker_count,eligible_ticker_count,improve_count,neutral_count,worsen_count,sample_status,recommended_for_subset,selection_reason,winning_mean_score,winning_trade_retention_pct,winning_delta_win_rate_mean,winning_delta_average_return_mean,winning_delta_max_drawdown_mean
category,automotive,1.0,1.5,low,0.0,1,0,0,0,1,insufficient_sample,False,"Threshold 1.0 dipilih untuk group ini karena mean score item 5 paling baik. delta_average_return_mean=+0.0000, delta_win_rate_mean=+0.00, trade_retention_mean=100.0%. Confidence rendah karena sampel kecil atau margin tipis.",-39.0,100.0,0.0,0.0,0.0
category,telco,1.0,1.5,low,0.0,1,0,0,0,1,insufficient_sample,False,"Threshold 1.0 dipilih untuk group ini karena mean score item 5 paling baik. delta_average_return_mean=+0.0000, delta_win_rate_mean=+0.00, trade_retention_mean=100.0%. Confidence rendah karena sampel kecil atau margin tipis.",-39.0,100.0,0.0,0.0,0.0
sector,otomotif,1.0,1.5,low,0.0,1,0,0,0,1,insufficient_sample,False,"Threshold 1.0 dipilih untuk group ini karena mean score item 5 paling baik. delta_average_return_mean=+0.0000, delta_win_rate_mean=+0.00, trade_retention_mean=100.0%. Confidence rendah karena sampel kecil atau margin tipis.",-39.0,100.0,0.0,0.0,0.0
sector,telekomunikasi,1.0,1.5,low,0.0,1,0,0,0,1,insufficient_sample,False,"Threshold 1.0 dipilih untuk group ini karena mean score item 5 paling baik. delta_average_return_mean=+0.0000, delta_win_rate_mean=+0.00, trade_retention_mean=100.0%. Confidence rendah karena sampel kecil atau margin tipis.",-39.0,100.0,0.0,0.0,0.0
category,finance,1.0,1.5,low,0.0,3,0,0,0,3,enough_sample,False,"Threshold 1.0 dipilih untuk group ini karena mean score item 5 paling baik. delta_average_return_mean=+0.0000, delta_win_rate_mean=+0.00, trade_retention_mean=33.3%. Confidence rendah karena sampel kecil atau margin tipis.",-48.333333333333336,33.333333333333336,0.0,0.0,0.0
sector,perbankan,1.0,1.5,low,0.0,3,0,0,0,3,enough_sample,False,"Threshold 1.0 dipilih untuk group ini karena mean score item 5 paling baik. delta_average_return_mean=+0.0000, delta_win_rate_mean=+0.00, trade_retention_mean=33.3%. Confidence rendah karena sampel kecil atau margin tipis.",-48.333333333333336,33.333333333333336,0.0,0.0,0.0
category,consumer,1.0,1.5,low,0.0,1,0,0,0,1,insufficient_sample,False,"Threshold 1.0 dipilih untuk group ini karena mean score item 5 paling baik. delta_average_return_mean=+0.0000, delta_win_rate_mean=+0.00, trade_retention_mean=0.0%. Confidence rendah karena sampel kecil atau margin tipis.",-53.0,0.0,0.0,0.0,0.0
category,mining,1.0,1.5,low,0.0,2,0,0,0,2,enough_sample,False,"Threshold 1.0 dipilih untuk group ini karena mean score item 5 paling baik. delta_average_return_mean=+0.0000, delta_win_rate_mean=+0.00, trade_retention_mean=0.0%. Confidence rendah karena sampel kecil atau margin tipis.",-53.0,0.0,0.0,0.0,0.0
category,technology,1.0,1.5,low,0.0,1,0,0,0,1,insufficient_sample,False,"Threshold 1.0 dipilih untuk group ini karena mean score item 5 paling baik. delta_average_return_mean=+0.0000, delta_win_rate_mean=+0.00, trade_retention_mean=0.0%. Confidence rendah karena sampel kecil atau margin tipis.",-53.0,0.0,0.0,0.0,0.0
sector,konsumsi,1.0,1.5,low,0.0,1,0,0,0,1,insufficient_sample,False,"Threshold 1.0 dipilih untuk group ini karena mean score item 5 paling baik. delta_average_return_mean=+0.0000, delta_win_rate_mean=+0.00, trade_retention_mean=0.0%. Confidence rendah karena sampel kecil atau margin tipis.",-53.0,0.0,0.0,0.0,0.0
sector,pertambangan,1.0,1.5,low,0.0,2,0,0,0,2,enough_sample,False,"Threshold 1.0 dipilih untuk group ini karena mean score item 5 paling baik. delta_average_return_mean=+0.0000, delta_win_rate_mean=+0.00, trade_retention_mean=0.0%. Confidence rendah karena sampel kecil atau margin tipis.",-53.0,0.0,0.0,0.0,0.0
sector,teknologi,1.0,1.5,low,0.0,1,0,0,0,1,insufficient_sample,False,"Threshold 1.0 dipilih untuk group ini karena mean score item 5 paling baik. delta_average_return_mean=+0.0000, delta_win_rate_mean=+0.00, trade_retention_mean=0.0%. Confidence rendah karena sampel kecil atau margin tipis.",-53.0,0.0,0.0,0.0,0.0
category,energy,1.0,1.5,low,0.0,1,0,0,0,1,insufficient_sample,False,"Threshold 1.0 dipilih untuk group ini karena mean score item 5 paling baik. delta_average_return_mean=-0.2677, delta_win_rate_mean=-33.33, trade_retention_mean=100.0%. Confidence rendah karena sampel kecil atau margin tipis.",-69.1331,100.0,-33.33,-0.2677,0.0
sector,energi,1.0,1.5,low,0.0,1,0,0,0,1,insufficient_sample,False,"Threshold 1.0 dipilih untuk group ini karena mean score item 5 paling baik. delta_average_return_mean=-0.2677, delta_win_rate_mean=-33.33, trade_retention_mean=100.0%. Confidence rendah karena sampel kecil atau margin tipis.",-69.1331,100.0,-33.33,-0.2677,0.0
