scenario_id,scenario_label,evaluation_scope,segment_field,segment_value,segment_ticker_count,experiment_stage,candidate_id,eligible_trade_floor,min_eligible_tickers_required,minimum_trade_sample_required,ticker_count,eligible_ticker_count,total_trades_sum,positive_score_ticker_count,mean_average_return_all,mean_average_return_eligible,mean_score_all,supportive_but_ineligible_ticker_count,positive_return_but_ineligible_ticker_count,sample_skew_gap,outlier_bias_risk,status,coverage_ok,trade_sample_ok,quality_all_ok,quality_eligible_ok,eligible_definition_supported,supporting_segment_field,supporting_segment_value,supporting_segment_status
scenario_a_current_guardrail,Current global guardrail,global,__global__,__global__,12,baseline_v2,baseline_v2_hold3_with_trend_guard,10,3,15,12,12,2904,5,-0.18624,-0.18624,-0.07446,0,0,0.0,False,no_go,True,True,False,False,True,,,
scenario_b_relaxed_sample_gate,Relaxed sample gate,global,__global__,__global__,12,baseline_v2,baseline_v2_hold3_with_trend_guard,9,2,12,12,12,2904,5,-0.18624,-0.18624,-0.07446,0,0,0.0,False,no_go,True,True,False,False,True,,,
scenario_c_segment_aware_guardrail,Segment-aware guardrail,segment,news_segment,high_news,4,baseline_v2,baseline_v2_hold3_with_trend_guard,10,2,15,4,4,1098,1,-0.02967,-0.02967,-0.56875,0,0,0.0,False,no_go,True,True,False,False,True,,,
scenario_c_segment_aware_guardrail,Segment-aware guardrail,segment,news_segment,low_news,4,baseline_v2,baseline_v2_hold3_with_trend_guard,10,2,15,4,4,1004,3,-0.1704,-0.1704,3.1627,0,0,0.0,False,no_go,True,True,False,False,True,,,
scenario_c_segment_aware_guardrail,Segment-aware guardrail,segment,news_segment,mid_news,4,baseline_v2,baseline_v2_hold3_with_trend_guard,10,2,15,4,4,802,1,-0.35865,-0.35865,-2.81732,0,0,0.0,False,no_go,True,True,False,False,True,,,
scenario_c_segment_aware_guardrail,Segment-aware guardrail,segment,sentiment_segment,sentiment_poor,6,baseline_v2,baseline_v2_hold3_with_trend_guard,10,3,15,6,6,1518,4,-0.03775,-0.03775,2.57595,0,0,0.0,False,no_go,True,True,False,False,True,,,
scenario_c_segment_aware_guardrail,Segment-aware guardrail,segment,sentiment_segment,sentiment_rich,6,baseline_v2,baseline_v2_hold3_with_trend_guard,10,3,15,6,6,1386,1,-0.33473,-0.33473,-2.72487,0,0,0.0,False,no_go,True,True,False,False,True,,,
scenario_c_segment_aware_guardrail,Segment-aware guardrail,segment,liquidity_segment,liquid_active,6,baseline_v2,baseline_v2_hold3_with_trend_guard,10,3,15,6,6,1478,2,-0.20803,-0.20803,0.20183,0,0,0.0,False,no_go,True,True,False,False,True,,,
scenario_c_segment_aware_guardrail,Segment-aware guardrail,segment,liquidity_segment,thin_sparse,6,baseline_v2,baseline_v2_hold3_with_trend_guard,10,3,15,6,6,1426,3,-0.16445,-0.16445,-0.35075,0,0,0.0,False,no_go,True,True,False,False,True,,,
scenario_c_segment_aware_guardrail,Segment-aware guardrail,segment,volatility_segment,higher_volatility,4,baseline_v2,baseline_v2_hold3_with_trend_guard,10,2,15,4,4,667,0,-0.18877,-0.18877,-5.83,0,0,0.0,False,no_go,True,True,False,False,True,,,
scenario_c_segment_aware_guardrail,Segment-aware guardrail,segment,volatility_segment,lower_volatility,4,baseline_v2,baseline_v2_hold3_with_trend_guard,10,2,15,4,4,1129,2,-0.25445,-0.25445,1.09018,0,0,0.0,False,no_go,True,True,False,False,True,,,
