previous_group_id,article_ids,target_entity_count,label_set,text_fingerprint_count,URL_count,root_cause,corrected_group_ids,remains_conflict,recommended_action,evidence
grp_60386fc1c5cfc3da,1038|1156|13|213|333,5,neutral|positive,5,5,same_text_different_entity_valid,class_3b0b542c46762126|class_5491e1cc77bb2404|class_b207bd1196d104ab|class_d8d29f2e8371fd9f|class_ee448fbef4b55447,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_e5cf056f0fb52b03,1356|14|1531|1653|747,5,neutral|positive,5,5,same_text_different_entity_valid,class_238c7557704bd7d6|class_58c1c01df1d989a2|class_5e3c2935d23a7eda|class_a9f3372472574613|class_ae20754bdcc567c0,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_eaa339db69abc3d7,1098|1179|15|1677|705,4,neutral|positive,5,5,same_text_different_entity_valid,class_3c5a96a2ee0a0650|class_7debda53fbc3b273|class_bc7eade6919fb9c8|class_c717eb747633ad25|class_e77ba63ac92b4390,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_3863cc7e5a36a442,1225|1402|16|946|974,4,neutral|positive,5,5,same_text_different_entity_valid,class_12783e5fb7dc418e|class_7406cf6f3c15ea92|class_8ba9501844b262bd|class_a4542bdc5465790a|class_f7865cf44d27a0f7,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_f9b5569b4914d5a7,18|197|689|975,4,negative|neutral|positive,4,4,same_text_different_entity_valid,class_182f18425f651df6|class_4d80fc7668a6d66a|class_92326e5bca0e6fa8|class_c963c1cca5315ae1,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_115de2ea1c617912,19|968,1,neutral|positive,2,2,transitive_overmerge,class_a8f6ceba11808907|class_d9f248e4b8490eaa,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_b2f670b30cfeaecb,1417|1843|20,3,neutral|positive,3,3,same_text_different_entity_valid,class_0d7bf07059abd412|class_45326f85d16e67e6|class_5889a748e45888d9,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_0f87336099f7ca81,1145|1421|21|414,4,negative|neutral|positive,4,4,same_text_different_entity_valid,class_80da8e781db01dbc|class_86045e28aebb4084|class_b0baa8a9959500e0|class_c79990e24f5afed0,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_c561331d76f364a3,1187|1694|22|522,4,neutral|positive,4,4,same_text_different_entity_valid,class_2ca7d3d82b6d36c0|class_61f756cd6d5ddf9f|class_78d286377b64d9de|class_e801e3ae2efe9c51,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_0af5fd3386e66241,185|215|23|341|405,3,neutral|positive,5,5,same_text_different_entity_valid,class_528f7390970f39b3|class_714a1f83490396c9|class_73a43a425c667ccd|class_d7d25f7fd925401a|class_ea874d36ca9dbe6b,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_7c4f67ac932ac336,1021|152|1858|267|29|462|499|612,4,neutral|positive,8,8,same_text_different_entity_valid,class_062d884fd6bb1484|class_11718c17e08f7098|class_21a1454357f41be9|class_38186c246d7c058b|class_3a0000c106803cc6|class_ab50cb9957fba4e7|class_e077a05789e343f6|class_f579da7757530dfa,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_b995dc12d3343cba,1122|1124|1553|1740|177|252|30|308|835,5,neutral|positive,9,9,same_text_different_entity_valid,class_4d630b93085548a5|class_691d7b6b1a50de11|class_82da1bed6dd12a2e|class_888468ba9ef9f189|class_ada01f1afbd14f76|class_b6694684a27cf2f7|class_c023eb34564fcc78|class_e6e8b66c7bc2d050|class_e8724a1a3cc8b753,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_85ec97e6accb3553,1433|35,2,neutral|positive,2,2,same_text_different_entity_valid,class_1a800fd6ba8dcf24|class_545c3455edbd255d,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_ca2467857dd340ea,1308|41,2,negative|neutral,2,2,same_text_different_entity_valid,class_da02e373f7cb13c7|class_f07396a57aaa25d9,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_4db3ba04d3172752,1445|1558|1605|167|1693|315|43|714,7,negative|neutral|positive,8,8,same_text_different_entity_valid,class_15d78a438e05cccb|class_24216c028ed2f1aa|class_6b525463c8e8045e|class_8d13c358af8fbe16|class_a65ea93b0e5579f9|class_aa2f99bddfd04eb9|class_ef9e368bce9e0ceb|class_f55cd16c33c03e8c,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_a1a8ae1078cb3b20,1139|1623|335|45|607|93|97,5,negative|neutral|positive,7,7,same_text_different_entity_valid,class_08df8c61e85e84b8|class_47119af501bc00b8|class_7b39111e80eac4dd|class_91170c4e274230b6|class_93d5cc7c96bf225e|class_b36c436d130f9147|class_c7609dfe1320be34,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_d57897a82ae92230,1148|1738|1854|47|642|813|920,5,negative|neutral,7,7,same_text_different_entity_valid,class_0d1a554998727eb4|class_4b68cf529f8ae6ed|class_4f2b8a6199ee3688|class_7174705ee5b8c579|class_7b68cd20a6c5b16a|class_ad0e8ec8b7de181a|class_bcb61a6db1828ff5,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_897e29ab2bd62f71,1471|51|571|684|758,4,neutral|positive,5,5,same_text_different_entity_valid,class_3ce0405807c06755|class_3ecca8a6dcfaec6b|class_c2f8d95e087552af|class_ce1ca12914054d24|class_df8c951a5d6f7d93,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_79f2dd14343aa99a,1112|1293|1689|379|52,5,neutral|positive,5,5,same_text_different_entity_valid,class_0d06d75e495ad648|class_459742ecea569e17|class_9e33840659fa9530|class_c7b00c0844032003|class_fb4307202e6cd203,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_830f8629de207a27,1127|288|437|59,2,neutral|positive,4,4,same_text_different_entity_valid,class_1c1b83f6ee4ce4a9|class_3994a53c8fb8feab|class_71d15226ccb7ec27|class_a70dd1e8c74133e9,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_d88350c700f82e63,1295|1685|400|68|914,3,negative|neutral,5,5,same_text_different_entity_valid,class_317d079f1eb62656|class_5ab0bc280221c3fa|class_7b0207a48a392579|class_961ab7e1be560474|class_ad8da4db19c3ad1c,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_afabb7c7dcf4c7bf,1243|1266|1736|1747|69|73|799,5,neutral|positive,7,7,same_text_different_entity_valid,class_03837f2887576a8c|class_5986abd36ed3cc4a|class_613fc09f8833f7c4|class_9350c4332665f2ef|class_976223659696bfb2|class_97a8eced604b3158|class_ea8f4924a913cd50,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_492ca636563db7dc,1053|1186|1327|1699|392|398|516|733|746|81,6,negative|neutral|positive,10,10,same_text_different_entity_valid,class_0f54ec64614e4349|class_0fdedf7a034455f1|class_26de9f41c4c90289|class_2dd93294841fa05b|class_3637a7d0f5cf574f|class_6d88f2d81c596707|class_9faeaeddbd2f7615|class_bc1e2676b3c34750|class_d54d8f3f9b2c4208|class_f9dcf62f1987f9eb,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_e1223bb7d284543f,1548|1784|436|605|84,3,neutral|positive,5,5,same_text_different_entity_valid,class_149f657681e67022|class_994eb3f6f5965742|class_d576ca3e7f6d3111|class_ddba6d11aeae1094|class_e36151733a8cd0c2,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_0150d5c1ce4d94c2,1844|429|86,3,negative|neutral|positive,3,3,same_text_different_entity_valid,class_328dc517243b63a0|class_4d84866d58fe3fac|class_61448cc3baab004e,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_c4cfd0db4873b1e5,1354|1799|1813|220|757|798|87|981,7,neutral|positive,8,8,same_text_different_entity_valid,class_20e470dcd610a699|class_29d5e538bda2867f|class_3d758f5448d284d5|class_6419f3e5c41e52ca|class_7d2cb02bfcce983d|class_8247f729663951df|class_a4bdfd54b9b82a76|class_f1fdc241f8e55b7a,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_ce5b896c87daf80b,1378|1823|1880|268|88,5,negative|neutral|positive,5,5,same_text_different_entity_valid,class_26552d13419c6f79|class_325716183f27a720|class_90d6e3fe64264423|class_99058cf87ba9e9f7|class_c02170d560852fd4,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_6a59001411c26990,1084|1094|1178|1210|327|658|706|89,5,negative|neutral|positive,8,8,same_text_different_entity_valid,class_125ce00124253b33|class_15a89597142f4133|class_5a6c43282d3aa1f0|class_9a4e8eacd743f4c2|class_9f3f293a784fc91a|class_a06763119b9aa51a|class_aa40612ba1aca28f|class_bee2be3e21e9b74d,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_a0dea9c45fe24847,207|418|786|91|917,3,neutral|positive,5,5,same_text_different_entity_valid,class_04ff428bb7864114|class_8975255f0ef148e8|class_a147d7aa0dfd0804|class_e9b166b0233762a7|class_f3158efe96bcea1b,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_6b9eb4070a9a484b,1237|94,2,neutral|positive,2,2,same_text_different_entity_valid,class_8dcf32abdafc67c1|class_f018590e13cc800c,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_0c54964484a5a334,1734|326|408|95,3,neutral|positive,4,4,same_text_different_entity_valid,class_48afbbd275719031|class_6d290c24aabf6da2|class_ca8fbeb89a5619de|class_dfcbf9c5e04e0e71,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_eacfecee62b56172,1040|1158|340|879|99,4,negative|neutral|positive,5,5,same_text_different_entity_valid,class_0630de4209e3ccc7|class_6c59cccb567d6e0e|class_7392c7157e48e574|class_e5e6cc8cffa9b43a|class_fd0150bd6d44b0cd,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_e90e97fe9b159d53,103|107|1166|1745|226|395|628,5,negative|neutral,6,7,same_text_different_entity_valid,class_2107efa06d90e3fc|class_451afa60116c609a|class_6e9b7eb2868a5d88|class_9ff5788865e52255|class_c9a606645f2e1662|class_e27443d0647f22b5,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_527bcdbe38e641c2,104|1228|1435|469|503|877,5,negative|neutral|positive,5,6,same_text_different_entity_valid,class_326c2f6bef2bdfb1|class_7f6ece72a23664e4|class_89bc041de64456cd|class_8a86d9c0678ed377|class_b3f28358ad3780cd,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_610921a2675b26b6,108|1279|1376|1596|1617|1815,5,neutral|positive,6,6,same_text_different_entity_valid,class_591bd534ea577dfd|class_89a79add599b45a1|class_909085877d36feaa|class_ae183ef96459e5e9|class_b559322b57f26128|class_fc9e1a8f8ceff757,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_99d3a20296f3f48d,109|485|601,3,neutral|positive,3,3,same_text_different_entity_valid,class_43fcefc83087d1c4|class_5a5f139aafb71d13|class_8511b166ff320619,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_113611916dfc9422,111|155|552,3,neutral|positive,3,3,same_text_different_entity_valid,class_883c6b973e7a5e19|class_b29079d5050737f0|class_bb0048a337d971d7,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_b3a6e31c5a2f1efb,1075|112|1575|483,3,neutral|positive,4,4,same_text_different_entity_valid,class_7bb83fb9a2350cb5|class_87b4c9e5145eed0f|class_8bb0b73aac0b69b6|class_e9a5f68f4f9fbbdd,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_4315c767b4b96d39,113|1710|363|597|919,3,neutral|positive,5,5,same_text_different_entity_valid,class_1d28ce40d6045b44|class_3f14b8ab8f89f471|class_739f92a12338614d|class_896eb2d8510b7026|class_fa966fbe87c428d4,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_f69400a09f5f3a0a,114|1146|1326,2,neutral|positive,2,3,same_text_different_entity_valid,class_d1d5458adecda892|class_ebb9ebc8920a5967,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_9459510885f42b89,115|1484|1712|608|685,5,neutral|positive,5,5,same_text_different_entity_valid,class_0781245de9b8dfbf|class_678fdbfddbb2aa31|class_bc4634374c8df3e0|class_c20566dcdb6fa31a|class_d76e4ceb86e3e818,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_ec656e3a20e67c97,1044|116|1667|750,4,neutral|positive,4,4,same_text_different_entity_valid,class_0481487c36531e7b|class_174a42d7fe2ddf84|class_265a4c5d1c709263|class_f0bc03189d325c5e,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_63d2f0b6e2bf7c65,118|1271|1729,3,negative|neutral,3,3,same_text_different_entity_valid,class_70d57da0f659e9e5|class_adac7089c484b2a0|class_d6459d957056e79f,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_6c3d725477e6f543,120|1467|174|456|478|564|718,6,neutral|positive,6,7,same_text_different_entity_valid,class_1849c292786f1005|class_5b9f0c845924a9a0|class_818927061f90233d|class_8b40c0e7f2b9d974|class_bbe5672ea6e179a4|class_d7346d1c0699d698,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_8f9de4723ce6aa4d,1029|121|1256|1576|1706,5,neutral|positive,5,5,same_text_different_entity_valid,class_1dc853c505492055|class_267aa36c085d9801|class_3ad9b05f877d5824|class_4fe764ec9d6bf5b5|class_6c106da63ee2f8f0,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
grp_b2bfcc754f9863c5,124|1338|1413|208|468,5,neutral|positive,5,5,same_text_different_entity_valid,class_54751e692289a6de|class_842aeca6fade14b2|class_b77b13e4416d59c3|class_bb0fc8617c14dd59|class_f675383faa81d61d,false,use_corrected_v2_grouping,v2 DB grouping uses usable non-empty values and target entity
