article_id_left,article_id_right,target_entity,title_similarity,text_similarity,token_overlap,combined_score,threshold,decision,evidence
646,823,BBCA,1.0,1.0,1.0,1.0,0.92,hard_group,entity_block_exact_fingerprint_or_title
402,1069,BBRI,1.0,1.0,1.0,1.0,0.92,hard_group,entity_block_exact_fingerprint_or_title
801,884,TLKM,1.0,1.0,1.0,1.0,0.92,hard_group,entity_block_exact_fingerprint_or_title
1088,1709,TLKM,1.0,1.0,1.0,1.0,0.92,hard_group,entity_block_exact_fingerprint_or_title
830,1121,GOTO,1.0,1.0,1.0,1.0,0.92,hard_group,entity_block_exact_fingerprint_or_title
963,1023,GOTO,1.0,1.0,1.0,1.0,0.92,hard_group,entity_block_exact_fingerprint_or_title
498,634,ASII,1.0,1.0,1.0,1.0,0.92,hard_group,entity_block_exact_fingerprint_or_title
498,678,ASII,1.0,1.0,1.0,1.0,0.92,hard_group,entity_block_exact_fingerprint_or_title
498,907,ASII,1.0,1.0,1.0,1.0,0.92,hard_group,entity_block_exact_fingerprint_or_title
634,678,ASII,1.0,1.0,1.0,1.0,0.92,hard_group,entity_block_exact_fingerprint_or_title
634,907,ASII,1.0,1.0,1.0,1.0,0.92,hard_group,entity_block_exact_fingerprint_or_title
678,907,ASII,1.0,1.0,1.0,1.0,0.92,hard_group,entity_block_exact_fingerprint_or_title
1492,1621,ASII,1.0,1.0,1.0,1.0,0.92,hard_group,entity_block_exact_fingerprint_or_title
472,527,INDF,1.0,1.0,1.0,1.0,0.92,hard_group,entity_block_exact_fingerprint_or_title
1130,1381,INDF,1.0,1.0,1.0,1.0,0.92,hard_group,entity_block_exact_fingerprint_or_title
1384,1526,INDF,1.0,1.0,1.0,1.0,0.92,hard_group,entity_block_exact_fingerprint_or_title
1384,1567,INDF,1.0,1.0,1.0,1.0,0.92,hard_group,entity_block_exact_fingerprint_or_title
1526,1567,INDF,1.0,1.0,1.0,1.0,0.92,hard_group,entity_block_exact_fingerprint_or_title
103,107,ICBP,1.0,1.0,1.0,1.0,0.92,hard_group,entity_block_exact_fingerprint_or_title
504,654,ICBP,1.0,1.0,1.0,1.0,0.92,hard_group,entity_block_exact_fingerprint_or_title
1134,1528,ICBP,1.0,1.0,1.0,1.0,0.92,hard_group,entity_block_exact_fingerprint_or_title
1134,1691,ICBP,1.0,1.0,1.0,1.0,0.92,hard_group,entity_block_exact_fingerprint_or_title
1136,1530,ICBP,1.0,1.0,1.0,1.0,0.92,hard_group,entity_block_exact_fingerprint_or_title
1528,1691,ICBP,1.0,1.0,1.0,1.0,0.92,hard_group,entity_block_exact_fingerprint_or_title
891,978,ADRO,1.0,1.0,1.0,1.0,0.92,hard_group,entity_block_exact_fingerprint_or_title
802,819,TLKM,1.0,1.0,1.0,1.0,0.92,hard_group,entity_block_exact_fingerprint_or_title
493,826,ASII,1.0,1.0,1.0,1.0,0.92,hard_group,entity_block_exact_fingerprint_or_title
216,435,DEWA,1.0,1.0,1.0,1.0,0.92,hard_group,entity_block_exact_fingerprint_or_title
1510,1583,DEWA,1.0,1.0,1.0,1.0,0.92,hard_group,entity_block_exact_fingerprint_or_title
119,241,ICBP,1.0,1.0,1.0,1.0,0.92,hard_group,entity_block_exact_fingerprint_or_title
105,572,UNVR,1.0,1.0,1.0,1.0,0.92,hard_group,entity_block_exact_fingerprint_or_title
478,564,UNVR,1.0,1.0,1.0,1.0,0.92,hard_group,entity_block_exact_fingerprint_or_title
512,897,UNVR,1.0,1.0,1.0,1.0,0.92,hard_group,entity_block_exact_fingerprint_or_title
567,1345,UNVR,1.0,1.0,1.0,1.0,0.92,hard_group,entity_block_exact_fingerprint_or_title
1391,1719,UNVR,1.0,1.0,1.0,1.0,0.92,hard_group,entity_block_exact_fingerprint_or_title
114,1146,UNVR,1.0,1.0,1.0,1.0,0.92,hard_group,entity_block_exact_fingerprint_or_title
427,1436,BUMI,1.0,1.0,1.0,1.0,0.92,hard_group,entity_block_exact_fingerprint_or_title
585,808,BUMI,1.0,1.0,1.0,1.0,0.92,hard_group,entity_block_exact_fingerprint_or_title
1822,1891,BUMI,1.0,1.0,1.0,1.0,0.92,hard_group,entity_block_exact_fingerprint_or_title
1764,1833,GOTO,1.0,1.0,1.0,1.0,0.92,hard_group,entity_block_exact_fingerprint_or_title
359,464,GOTO,1.0,1.0,1.0,1.0,0.92,hard_group,entity_block_exact_fingerprint_or_title
469,503,INDF,1.0,1.0,1.0,1.0,0.92,hard_group,entity_block_exact_fingerprint_or_title
970,1387,INDF,1.0,1.0,1.0,1.0,0.92,hard_group,entity_block_exact_fingerprint_or_title
1652,1698,DEWA,1.0,1.0,1.0,1.0,0.92,hard_group,entity_block_exact_fingerprint_or_title
