group_field,group_value,best_threshold,decision_confidence,decision_margin,ticker_count,eligible_ticker_count,winner_ticker_count,sample_status,selection_reason,winning_mean_score,winning_total_trades_sum,winning_trade_retention_pct,winning_win_rate_delta,winning_average_return_delta,winning_max_drawdown_delta
category,energy,1.5,low,0.3549999999999969,1,1,1,insufficient_group_sample,"Group category=energy lebih cocok ke threshold 1.5 karena trade retention lebih tinggi tanpa kehilangan kualitas utama. win_rate_delta=+0.00 pp, average_return_delta=-0.6033, trade_retention=150.0%. Keputusan ini low-confidence karena semua kandidat kekurangan trade.",-36.645,3.0,150.0,0.0,-0.6033,0.3802
sector,energi,1.5,low,0.3549999999999969,1,1,1,insufficient_group_sample,"Group sector=energi lebih cocok ke threshold 1.5 karena trade retention lebih tinggi tanpa kehilangan kualitas utama. win_rate_delta=+0.00 pp, average_return_delta=-0.6033, trade_retention=150.0%. Keputusan ini low-confidence karena semua kandidat kekurangan trade.",-36.645,3.0,150.0,0.0,-0.6033,0.3802
category,automotive,2.0,low,0.0,1,1,1,insufficient_group_sample,"Group category=automotive tetap paling stabil di threshold 2.0 dengan mean_score -39.00. win_rate_delta=+0.00 pp, average_return_delta=+0.0000, trade_retention=100.0%. Keputusan ini low-confidence karena semua kandidat kekurangan trade.",-39.0,1.0,100.0,0.0,0.0,0.0
category,telco,2.0,low,0.0,1,1,1,insufficient_group_sample,"Group category=telco tetap paling stabil di threshold 2.0 dengan mean_score -39.00. win_rate_delta=+0.00 pp, average_return_delta=+0.0000, trade_retention=100.0%. Keputusan ini low-confidence karena semua kandidat kekurangan trade.",-39.0,1.0,100.0,0.0,0.0,0.0
sector,otomotif,2.0,low,0.0,1,1,1,insufficient_group_sample,"Group sector=otomotif tetap paling stabil di threshold 2.0 dengan mean_score -39.00. win_rate_delta=+0.00 pp, average_return_delta=+0.0000, trade_retention=100.0%. Keputusan ini low-confidence karena semua kandidat kekurangan trade.",-39.0,1.0,100.0,0.0,0.0,0.0
sector,telekomunikasi,2.0,low,0.0,1,1,1,insufficient_group_sample,"Group sector=telekomunikasi tetap paling stabil di threshold 2.0 dengan mean_score -39.00. win_rate_delta=+0.00 pp, average_return_delta=+0.0000, trade_retention=100.0%. Keputusan ini low-confidence karena semua kandidat kekurangan trade.",-39.0,1.0,100.0,0.0,0.0,0.0
category,finance,2.0,low,0.0,3,3,3,enough_sample,"Group category=finance tetap paling stabil di threshold 2.0 dengan mean_score -48.33. win_rate_delta=+0.00 pp, average_return_delta=+0.0000, trade_retention=100.0%.",-48.333333333333336,1.0,100.0,0.0,0.0,0.0
sector,perbankan,2.0,low,0.0,3,3,3,enough_sample,"Group sector=perbankan tetap paling stabil di threshold 2.0 dengan mean_score -48.33. win_rate_delta=+0.00 pp, average_return_delta=+0.0000, trade_retention=100.0%.",-48.333333333333336,1.0,100.0,0.0,0.0,0.0
category,mining,2.0,low,0.0,2,2,2,enough_sample,"Group category=mining tetap paling stabil di threshold 2.0 dengan mean_score -53.00. win_rate_delta=+0.00 pp, average_return_delta=+0.0000, trade_retention=0.0%.",-53.0,0.0,0.0,0.0,0.0,0.0
sector,pertambangan,2.0,low,0.0,2,2,2,enough_sample,"Group sector=pertambangan tetap paling stabil di threshold 2.0 dengan mean_score -53.00. win_rate_delta=+0.00 pp, average_return_delta=+0.0000, trade_retention=0.0%.",-53.0,0.0,0.0,0.0,0.0,0.0
category,consumer,2.0,low,0.0,1,1,1,insufficient_group_sample,"Group category=consumer tetap paling stabil di threshold 2.0 dengan mean_score -53.00. win_rate_delta=+0.00 pp, average_return_delta=+0.0000, trade_retention=0.0%. Keputusan ini low-confidence karena semua kandidat kekurangan trade.",-53.0,0.0,0.0,0.0,0.0,0.0
category,technology,2.0,low,0.0,1,1,1,insufficient_group_sample,"Group category=technology tetap paling stabil di threshold 2.0 dengan mean_score -53.00. win_rate_delta=+0.00 pp, average_return_delta=+0.0000, trade_retention=0.0%. Keputusan ini low-confidence karena semua kandidat kekurangan trade.",-53.0,0.0,0.0,0.0,0.0,0.0
sector,konsumsi,2.0,low,0.0,1,1,1,insufficient_group_sample,"Group sector=konsumsi tetap paling stabil di threshold 2.0 dengan mean_score -53.00. win_rate_delta=+0.00 pp, average_return_delta=+0.0000, trade_retention=0.0%. Keputusan ini low-confidence karena semua kandidat kekurangan trade.",-53.0,0.0,0.0,0.0,0.0,0.0
sector,teknologi,2.0,low,0.0,1,1,1,insufficient_group_sample,"Group sector=teknologi tetap paling stabil di threshold 2.0 dengan mean_score -53.00. win_rate_delta=+0.00 pp, average_return_delta=+0.0000, trade_retention=0.0%. Keputusan ini low-confidence karena semua kandidat kekurangan trade.",-53.0,0.0,0.0,0.0,0.0,0.0
