article_id,manual_label_id,label,classification_instance_group_id,article_content_group_id,status,reason
13,91,positive,class_b207bd1196d104ab,article_3fdba35f04dc8c46,eligible_train_validation_test,
14,689,neutral,class_5e3c2935d23a7eda,article_8527a891e2241369,eligible_train_validation_test,
15,388,neutral,class_e77ba63ac92b4390,article_e629fa6598d73276,eligible_train_validation_test,
16,248,neutral,class_7406cf6f3c15ea92,article_b17ef6d19c7a5b1e,eligible_train_validation_test,
17,1177,neutral,class_925c4175aac4a780,article_4523540f1504cd17,eligible_train_validation_test,
18,95,neutral,class_92326e5bca0e6fa8,article_4ec9599fc203d176,eligible_train_validation_test,
19,1333,neutral,class_a8f6ceba11808907,article_9400f1b21cb527d7,eligible_train_validation_test,
20,286,positive,class_45326f85d16e67e6,article_f5ca38f748a1d6ea,eligible_train_validation_test,
21,392,neutral,class_c79990e24f5afed0,article_6f4b6612125fb3a0,eligible_train_validation_test,
22,16,positive,class_2ca7d3d82b6d36c0,article_785f3ec7eb32f30b,eligible_train_validation_test,
23,437,neutral,class_714a1f83490396c9,article_535fa30d7e25dd8a,eligible_train_validation_test,
24,1664,neutral,class_dd8f17736a15160e,article_c2356069e9d1e79c,eligible_train_validation_test,
25,1675,neutral,class_37037671678fd6e1,article_b7a56873cd771f2c,eligible_train_validation_test,
26,1883,neutral,class_9c1ae7264d50ef66,article_5f9c4ab08cac7457,eligible_train_validation_test,
27,1697,neutral,class_fed2bc40ec99b1d4,article_670671cd97404156,eligible_train_validation_test,
28,1376,neutral,class_a3fdef48f8560d72,article_59e19706d51d39f6,eligible_train_validation_test,
29,1196,neutral,class_11718c17e08f7098,article_35135aaa6cc23891,eligible_train_validation_test,
30,1667,neutral,class_e8724a1a3cc8b753,article_624b60c58c9d8bfb,eligible_train_validation_test,
31,1709,neutral,class_47b3a4502a292b04,article_eb1e33e8a81b697b,eligible_train_validation_test,
32,1154,neutral,class_bb4e484b285322a4,article_e29c9c180c6279b0,eligible_train_validation_test,
33,1124,neutral,class_f298e19dc7eed937,article_c6f3ac57944a5314,eligible_train_validation_test,
34,1321,neutral,class_4182fed8afb1b680,article_86e5014965866131,eligible_train_validation_test,
35,231,positive,class_1a800fd6ba8dcf24,article_9f14025af0065b30,eligible_train_validation_test,
36,1583,neutral,class_4b944ba9a298ec17,article_76a50887d8f1c2e9,eligible_train_validation_test,
37,1285,neutral,class_5e9e1d700c265eac,article_7a61b53701befdae,eligible_train_validation_test,
38,1218,neutral,class_738e2a903ed15711,article_aea92132c4cbeb26,eligible_train_validation_test,
39,1371,neutral,class_2c2f96660c08425c,article_0b918943df0962bc,eligible_train_validation_test,
40,1729,neutral,class_648044f5f966bcf3,article_d59eced1ded07f84,eligible_train_validation_test,
41,458,neutral,class_da02e373f7cb13c7,article_3d914f9348c9cc0f,eligible_train_validation_test,
42,1616,neutral,class_66dc0fb949641d4e,article_73475cb40a568e8d,eligible_train_validation_test,
43,608,neutral,class_aa2f99bddfd04eb9,article_44cb730c420480a0,eligible_train_validation_test,
44,1085,neutral,class_3d82abc76cba0512,article_71ee45a3c0db9a98,eligible_train_validation_test,
45,509,neutral,class_91170c4e274230b6,article_811786ad1ae74adf,eligible_train_validation_test,
46,1875,neutral,class_5d7faf196817685a,article_25fc0e7096fc6537,eligible_train_validation_test,
47,1723,neutral,class_7174705ee5b8c579,article_31489056e0916d59,eligible_train_validation_test,
48,975,neutral,class_91ccc19bc0418279,article_98010bd9270f9b10,eligible_train_validation_test,
