artifact_id,artifact_file,artifact_available,decision,candidate_id,recommended_next_action,global_promotion_allowed,survivor_signal,final_survivor_after_v9,summary_note
project_roadmap_status,project_roadmap_status.json,True,missing,,,False,False,False,
baseline_root_cause_postmortem,baseline_root_cause_postmortem.json,True,revisit_eligibility_and_sample_guardrails,,revisit_eligibility_and_sample_guardrails,False,False,False,revisit_eligibility_and_sample_guardrails
baseline_next_experiment_plan,baseline_next_experiment_plan.json,True,revisit_eligibility_and_sample_guardrails,,revisit_eligibility_and_sample_guardrails,False,False,False,revisit_eligibility_and_sample_guardrails
baseline_v2_go_no_go,baseline_v2_go_no_go.json,True,baseline_v2_no_go_redesign_again,baseline_v2_hold3_with_trend_guard,redesign_baseline_v2_again,False,False,False,redesign_baseline_v2_again
baseline_v3_signal_rule_go_no_go,baseline_v3_signal_rule_go_no_go.json,True,no_go,baseline_v3_ema20_trend_guard,drop_rule_from_redesign_shortlist,False,False,False,drop_rule_from_redesign_shortlist
baseline_v4_quality_gate_go_no_go,baseline_v4_quality_gate_go_no_go.json,True,no_go,baseline_v4_quality_gate_guard,redesign_quality_gate_or_shift_to_exit_hold_hypothesis,False,False,False,Coverage masih di bawah target minimum 3 ticker eligible.
baseline_v4_quality_gate_v2_go_no_go,baseline_v4_quality_gate_v2_go_no_go.json,True,no_go,baseline_v4_quality_gate_v2_anchor_micro_confirm,redesign_quality_gate_or_shift_to_exit_hold_hypothesis,False,False,False,Coverage masih di bawah target minimum 3 ticker eligible.
baseline_v5_exit_hold_go_no_go,baseline_v5_exit_hold_go_no_go.json,True,no_go,baseline_v5_hold4_extension,exit_hold_not_enough_keep_anchor_but_reassess_root_cause,False,False,False,Anchor entry utama tetap dipertahankan; eksperimen hanya mengubah exit/hold.
baseline_v6_next_experiment_governance,baseline_v6_next_experiment_governance.json,True,move_to_segment_aware_guardrail,,,False,False,False,
baseline_v7_segment_aware_go_no_go,baseline_v7_segment_aware_go_no_go.json,True,keep_experimental_for_segment_review,baseline_v3_ema20_trend_guard,keep_candidate_for_segment_review_only_on_sentiment_segment_sentiment_poor,False,True,False,sentiment_segment=sentiment_poor
baseline_v8_segment_only_validation_go_no_go,baseline_v8_segment_only_validation_go_no_go.json,True,promote_to_segment_only_validation,baseline_v3_ema20_trend_guard,promote_candidate_to_segment_only_validation_on_primary_segment_without_global_promotion,False,True,False,sentiment_segment=sentiment_poor
baseline_v9_segment_oos_go_no_go,baseline_v9_segment_oos_go_no_go.json,True,no_go_even_for_segment,baseline_v3_ema20_trend_guard,drop_candidate_from_primary_segment_even_for_experimental_use,False,False,False,drop_candidate_from_primary_segment_even_for_experimental_use
phase_b_item5_go_no_go,phase_b_item5_go_no_go.json,True,no_go,,stop,False,False,False,stop
phase_b_item6_go_no_go,phase_b_item6_go_no_go.json,True,no_go,,stop,False,False,False,stop
phase_b_item7_go_no_go,phase_b_item7_go_no_go.json,True,no_go,,stop,False,False,False,stop
phase_b_item8_go_no_go,phase_b_item8_go_no_go.json,True,no_go,,stop,False,False,False,stop
