ticker,classification,action_bucket,action_reason,recommended_threshold_action,strict_mode_action,delta_trades,trade_reduction_pct,delta_win_rate,delta_average_return,baseline_total_trades,phase_a_total_trades,tuning_hint,classification_reason,category,market_cap_group,sector,beta_group
ADRO,netral,watchlist_candidate,Sinyalnya campuran tetapi belum jelas cukup buruk untuk dibuang.,test_threshold_1_5,avoid_strict_default,-9.0,-81.81818181818183,4.549999999999997,-0.1915,11,2,test_1_5,Hasil campuran atau perubahannya belum cukup kuat untuk keputusan tegas.,energy,,energi,
BUMI,tidak_cocok,review_needed,"Ticker memburuk, tetapi masih ada hipotesis tuning yang layak diuji.",test_threshold_1_5,avoid_strict_default,-6.0,-100.0,-33.33,8.6729,6,0,test_1_5,Phase A menghilangkan semua trade atau tidak menghasilkan trade yang bisa dievaluasi.,mining,,pertambangan,
DEWA,tidak_cocok,review_needed,"Ticker memburuk, tetapi masih ada hipotesis tuning yang layak diuji.",test_threshold_1_5,avoid_strict_default,-7.0,-100.0,-28.57,6.2739,7,0,test_1_5,Phase A menghilangkan semua trade atau tidak menghasilkan trade yang bisa dievaluasi.,mining,,pertambangan,
BBRI,tidak_cocok,review_needed,"Ticker memburuk, tetapi masih ada hipotesis tuning yang layak diuji.",test_threshold_1_5,avoid_strict_default,-11.0,-100.0,-27.27,1.5541,11,0,test_1_5,Phase A menghilangkan semua trade atau tidak menghasilkan trade yang bisa dievaluasi.,finance,,perbankan,
UNVR,tidak_cocok,review_needed,"Ticker memburuk, tetapi masih ada hipotesis tuning yang layak diuji.",test_threshold_1_5,avoid_strict_default,-10.0,-100.0,-50.0,0.2451,10,0,test_1_5,Phase A menghilangkan semua trade atau tidak menghasilkan trade yang bisa dievaluasi.,consumer,,konsumsi,
BBCA,tidak_cocok,review_needed,"Ticker memburuk, tetapi masih ada hipotesis tuning yang layak diuji.",test_threshold_1_5,avoid_strict_default,-11.0,-100.0,-45.45,-0.1864,11,0,test_1_5,Phase A menghilangkan semua trade atau tidak menghasilkan trade yang bisa dievaluasi.,finance,,perbankan,
ASII,tidak_cocok,avoid_for_now,Average return memburuk terlalu besar sehingga tidak layak diprioritaskan.,test_threshold_1_5,avoid_strict_default,-10.0,-90.9090909090909,-36.36,-1.6139,11,1,test_1_5,Average return memburuk cukup material setelah Phase A.,automotive,,otomotif,
BMRI,tidak_cocok,avoid_for_now,Average return memburuk terlalu besar sehingga tidak layak diprioritaskan.,test_threshold_1_5,avoid_strict_default,-10.0,-90.9090909090909,-9.09,-2.131,11,1,test_1_5,Average return memburuk cukup material setelah Phase A.,finance,,perbankan,
TLKM,tidak_cocok,avoid_for_now,Average return memburuk terlalu besar sehingga tidak layak diprioritaskan.,test_threshold_1_5,avoid_strict_default,-8.0,-88.88888888888889,-44.44,-4.8371,9,1,test_1_5,Average return memburuk cukup material setelah Phase A.,telco,,telekomunikasi,
GOTO,tidak_cocok,avoid_for_now,Average return memburuk terlalu besar sehingga tidak layak diprioritaskan.,test_threshold_1_5,avoid_strict_default,-9.0,-100.0,-22.22,-47.7629,9,0,test_1_5,Phase A menghilangkan semua trade atau tidak menghasilkan trade yang bisa dievaluasi.,technology,,teknologi,
