priority_rank,ticker,execution_wave,is_primary_segment,safe_segment_overlap_count,safe_segments,history_rows_current,bars_needed_to_120,usable_oos_windows_current,oos_windows_needed_to_6,news_count_total_current,article_days_current,article_days_needed_to_4,primary_oos_trades_current,ticker_trade_share_primary,execution_priority_score,execution_reason
1,BUMI,wave_1_primary_active,True,2,liquidity_segment=liquid_active|volatility_segment=higher_volatility,2683,0,8,0,24,7,0,215,0.1499,118.0,"BUMI berada di primary segment, sudah aktif di OOS, dan butuh penutupan article-day gap yang relatif kecil."
2,BBCA,wave_1_primary_active,True,1,liquidity_segment=liquid_active,2647,0,8,0,22,8,0,341,0.2378,115.0,"BBCA berada di primary segment, sudah aktif di OOS, dan butuh penutupan article-day gap yang relatif kecil."
3,ASII,wave_1_primary_active,True,0,,2690,0,8,0,12,6,0,293,0.2043,112.0,"ASII berada di primary segment, sudah aktif di OOS, dan butuh penutupan article-day gap yang relatif kecil."
4,UNVR,wave_1_primary_active,True,0,,2656,0,8,0,11,7,0,278,0.1939,112.0,"UNVR berada di primary segment, sudah aktif di OOS, dan butuh penutupan article-day gap yang relatif kecil."
5,ICBP,wave_1_primary_coverage,True,0,,2690,0,8,0,11,8,0,0,0.0,80.0,"ICBP bukan pengungkit pertama untuk fairness primary, tetapi tetap perlu ikut tertutup di history gate."
6,INDF,wave_1_primary_coverage,True,0,,2691,0,8,0,9,8,0,0,0.0,80.0,"INDF bukan pengungkit pertama untuk fairness primary, tetapi tetap perlu ikut tertutup di history gate."
7,ADRO,wave_2_supporting_overlap,False,3,volatility_segment=higher_volatility|sentiment_segment=sentiment_rich|news_segment=mid_news,2597,0,8,0,16,9,0,307,0.2141,61.0,ADRO membantu coverage segment aman dan tetap relevan untuk kesiapan universe retest.
8,GOTO,wave_2_supporting_overlap,False,4,liquidity_segment=liquid_active|volatility_segment=higher_volatility|sentiment_segment=sentiment_rich|news_segment=mid_news,1171,0,3,3,15,9,0,0,0.0,32.0,GOTO membantu coverage segment aman dan tetap relevan untuk kesiapan universe retest.
9,BBRI,wave_2_supporting_overlap,False,3,liquidity_segment=liquid_active|sentiment_segment=sentiment_rich|news_segment=mid_news,2654,0,8,0,14,9,0,0,0.0,29.0,BBRI membantu coverage segment aman dan tetap relevan untuk kesiapan universe retest.
10,DEWA,wave_2_supporting_overlap,False,3,volatility_segment=higher_volatility|sentiment_segment=sentiment_rich|news_segment=mid_news,2608,0,8,0,15,9,0,0,0.0,29.0,DEWA membantu coverage segment aman dan tetap relevan untuk kesiapan universe retest.
11,BMRI,wave_2_supporting_overlap,False,2,liquidity_segment=liquid_active|sentiment_segment=sentiment_rich,2658,0,8,0,36,9,0,0,0.0,26.0,BMRI membantu coverage segment aman dan tetap relevan untuk kesiapan universe retest.
12,TLKM,wave_2_supporting_overlap,False,2,liquidity_segment=liquid_active|sentiment_segment=sentiment_rich,2643,0,8,0,19,11,0,0,0.0,26.0,TLKM membantu coverage segment aman dan tetap relevan untuk kesiapan universe retest.
