article_id_left,article_id_right,title_similarity,text_similarity,token_overlap,combined_score,threshold,decision,evidence
1503,780,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1503,992,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1503,339,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1503,1821,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1503,159,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1503,334,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
780,992,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
339,780,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1821,780,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
159,780,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
334,780,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
339,992,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1821,992,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
159,992,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
334,992,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1821,339,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
159,339,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
334,339,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
159,1821,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1821,334,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
159,334,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
487,593,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
487,691,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
352,487,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
593,691,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
352,593,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
352,691,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
354,561,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
354,754,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
561,754,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
361,891,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
668,891,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
891,978,1.0,1.0,1.0,1.0,0.92,merge,exact_hash_block_near_duplicate
361,668,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
361,978,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
668,978,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
1236,397,1.0,0.0,0.0,1.0,0.92,merge,exact_hash_block_near_duplicate
