phase,item_number,item_name,status,evidence,key_files,remaining_gap,recommended_next_action
phase_a,1,Volume spike detection,done,"quant/phase_a.py menambahkan add_volume_features, volume_ratio, dan is_volume_spike. | quant/test_phase_a.py menguji volume spike dan threshold injection.",quant/phase_a.py | quant/test_phase_a.py | quant/evaluate_phase_a_real_data.py,Tidak ada gap fitur inti. Pertahankan sebagai baseline Phase A dan jangan ubah default tanpa evidence real-data.,Pertahankan default threshold dari baseline freeze dan gunakan threshold sweep real sebagai satu-satunya dasar perubahan.
phase_a,2,EMA50 trend filter,done,"quant/phase_a.py menambahkan EMA50, trend_ok, dan ema50_slope_up. | quant/test_phase_a.py menguji trend filter Phase A.",quant/phase_a.py | quant/test_phase_a.py | quant/evaluate_phase_a_real_data.py,Tidak ada gap inti. EMA50 sudah menjadi bagian default pipeline Phase A.,"Bekukan EMA50 sebagai guardrail Phase A; eksperimen Fase B harus dibangun di atas filter ini, bukan menggantikannya."
phase_a,3,Berita backfill Jan-Mar/Feb-Apr 2026,done,app/Services/News/OjkRssFetcher.php mendukung RSS + HTML fallback + paginated Default.aspx untuk backfill historis. | app/Console/Commands/FetchOjkNewsCommand.php menyediakan mode --backfill dengan --from/--to. | tests/Feature/FetchOjkNewsCommandTest.php menguji backfill dan idempotency untuk artikel OJK global. | phase_a_closeout_status.json mencatat inspeksi runtime OJK backfill saat closeout. | Closeout terakhir menandai OJK backfill sebagai ready.,app/Services/News/OjkRssFetcher.php | app/Console/Commands/FetchOjkNewsCommand.php | tests/Feature/FetchOjkNewsCommandTest.php,Tidak ada gap implementasi inti. Gap yang tersisa hanya verifikasi runtime pada environment yang punya MySQL + data historis aktif.,"Perlakukan rerun closeout dengan MySQL aktif sebagai verifikasi operasional, bukan sebagai fitur baru."
phase_a,4,OJK scheduler / macro news integration,done,OJK disimpan sebagai global news (stock_id = null) dan dibaca oleh jalur backtest/evaluation/comparison. | MacroRegulatorySignalService.php memberi moderation layer untuk OJK neutral-only tanpa memaksa arah bullish/bearish. | EvaluationReportTest dan MacroRegulatorySignalServiceTest menguji jalur macro news serta moderation output.,app/Services/News/NewsAggregationService.php | app/Services/Analytics/MacroRegulatorySignalService.php | app/Services/Analytics/BacktestService.php | app/Services/Analytics/EvaluationReportService.php | app/Services/Analytics/SentimentComparisonService.php | tests/Feature/EvaluationReportTest.php | tests/Unit/MacroRegulatorySignalServiceTest.php,"Integrasi sudah selesai. Catatan yang tersisa ada pada kualitas pengaruh sinyal, bukan pada plumbing macro news.",Pertahankan macro_regulatory_signal sebagai context-only moderation sampai ada bukti kuat untuk directional lift.
phase_b,5,Volume confirmation per candlestick,partial,quant/phase_a.py sudah memiliki helper candlestick-volume confirmation yang default-off. | quant/evaluate_phase_a_real_data.py sudah dapat menjalankan evaluator dengan flag experimental candle confirmation. | quant/test_phase_a.py menguji bahwa filter ini hanya aktif bila diminta. | Artifact output/phase_b_item5_go_no_go.json memutuskan item 5 final no_go dengan next_action=stop. | Eksperimen item 5 collapse ke effective threshold baseline sehingga tidak menambah informasi baru.,quant/phase_a.py | quant/evaluate_phase_a_real_data.py | quant/test_phase_a.py | output/phase_b_item5_go_no_go.json,"Eksperimen item 5 sudah final no_go. Filter tambahan overlap dengan baseline aktif, retensi trade tidak membaik, dan fitur ini belum additive.",Biarkan item 5 tetap stop; evaluasi ulang hanya setelah baseline inti direvisi dan tervalidasi.
phase_b,6,Multi-timeframe (weekly trend sebelum entry daily),partial,PriceSeriesService.php sudah memiliki abstraksi interval_type yang bisa dipakai untuk 1d/1w. | Artifact output/phase_b_item6_go_no_go.json memutuskan item 6 final no_go dengan next_action=stop. | Eksperimen multi-timeframe gagal terutama karena trade retention terlalu rendah dan tidak ada ticker improve dengan retention memadai.,app/Services/Stocks/PriceSeriesService.php | app/Services/Analytics/BacktestService.php | quant/phase_a.py | output/phase_b_item6_go_no_go.json,Eksperimen item 6 sudah final no_go. Weekly trend belum terbukti usable karena tambahan filter membuat trade retention runtuh sebelum ada edge yang bisa dipromosikan.,Tetap nonaktifkan item 6; kembali ke perbaikan baseline inti sebelum memikirkan gate weekly lagi.
phase_b,7,Sentiment momentum (tren 3 hari terakhir),partial,"SentimentPriceAnalyticsService.php sudah menghasilkan per_date_sentiment dan sentiment_trend. | Watchlist/analytics sudah punya seri sentimen harian yang bisa menjadi fondasi momentum 3 hari. | Artifact output/phase_b_item7_go_no_go.json memutuskan item 7 final no_go dengan next_action=stop. | Real-data rerun menunjukkan sentiment momentum collapse: candidate_total_trades_sum=0.0, trade_retention_mean_pct=0.0.",app/Services/Analytics/SentimentPriceAnalyticsService.php | app/Services/Analytics/DecisionSupportService.php | app/Services/Analytics/BacktestService.php | output/phase_b_item7_go_no_go.json | output/phase_b_item7_sentiment_momentum_summary.json,Eksperimen item 7 sudah final no_go. Sinyal sentimen belum cukup informatif untuk gating karena trade collapse ke nol pada data real yang runnable.,Jangan hidupkan lagi item 7; audit relevansi sentiment series dan baseline entry dulu sebelum mencoba gating sentimen baru.
phase_b,8,Backtest per saham / model adaptif per ticker,partial,"Threshold sweep sudah tersedia per ticker/group/global. | Phase A baseline bisa dibekukan dan secara opsional diterapkan kembali ke evaluator lewat phase_a_baseline.py. | Adaptive runtime saat ini masih bergantung pada artifact freeze, belum menjadi model adaptif penuh lintas stack. | Artifact output/phase_b_item8_go_no_go.json memutuskan item 8 final no_go dengan next_action=stop. | Adaptive backtest tidak usable pada data real: evaluated_config_count=60, eligible_best_ticker_count=0, adaptive_model_supported=False.",quant/run_phase_a_threshold_sweep.py | quant/freeze_phase_a_baseline.py | quant/phase_a_baseline.py | quant/evaluate_phase_a_real_data.py | output/phase_b_item8_go_no_go.json | output/phase_b_item8_global_summary.json,Eksperimen item 8 sudah final no_go. Search space adaptif belum usable dan belum ada ticker/group yang lolos guardrail sample untuk promosi.,Tetap parkirkan item 8; revisi baseline inti dulu sebelum memperlebar adaptive search space lagi.
phase_c,9,Net broker flow,not_started,"Belum ada service, model, fetcher, atau test khusus net broker flow di codebase.",app/Services | app/Models | tests,"Perlu sumber data broker flow, skema penyimpanan, feature engineering, dan backtest integration penuh.",Tunda sampai Phase B stabil dan sumber data broker flow sudah dipilih.
phase_c,10,Correlation IHSG,not_started,"IHSG baru muncul sebagai keyword berita/relevansi, bukan sebagai seri data korelasi di analytics.",app/Services/Analytics/SentimentPriceAnalyticsService.php | app/Services/Stocks/PriceSeriesService.php | tests/Unit/NewsRelevanceTest.php,"Belum ada ingestion indeks IHSG, belum ada join return saham vs IHSG, dan belum ada report/backtest untuk market correlation regime.","Sentuh setelah multi-timeframe dan sentiment momentum Phase B stabil, supaya korelasi IHSG punya konteks pemakaian yang jelas."
phase_c,11,Python ML sentiment / IndoBERT,partial,"PythonApiSentimentAnalyzer.php sudah mendukung endpoint Python/HuggingFace dengan fallback rule-based. | Test unit sudah ada untuk payload valid, payload invalid, dan fallback error. | Belum ada model IndoBERT lokal/evaluasi eksperimen ML yang dibekukan di repo.",app/Services/Sentiment/PythonApiSentimentAnalyzer.php | app/Services/Sentiment/HybridSentimentAnalyzer.php | tests/Unit/PythonApiSentimentAnalyzerTest.php | config/sentiment.php,"Integrasi endpoint sudah ada, tetapi model/evaluasi ML belum menjadi baseline resmi. Itu masih backlog lanjutan, bukan close-out Phase A/B.","Tunda sampai fitur sinyal Phase B stabil, lalu ukur apakah ML sentiment benar-benar menambah edge dibanding hybrid rule/current API fallback."
phase_c,12,Trade journal analytics,not_started,"Belum ada persistence/jurnal trade khusus di repo. Backtest trades ada, tetapi belum diturunkan menjadi journal analytics.",quant/phase_a.py | app/Services/Analytics/BacktestService.php,"Perlu penyimpanan journal, agregasi performa per setup, dan UI/report khusus trader workflow.","Tunda sampai sinyal Phase B stabil, lalu putuskan schema journal yang mengikuti output backtest/trade windows yang sudah matang."
